"index","word","meaning","meaning2","note","category"
"482","같이 농구할까요?","Shall we play some basketball?","","농구 - basketball","dif2 polite"
"483","여기에서 좀 쉴까요?","Why don't we rest over here?","","좀 - a little bit, 쉬다 - to rest","dif2 polite"
"484","무슨 영화를 볼까요?","Which movie do you want to see?","","","dif2 polite"
"485","문제를 두 번 읽을 거예요.","They will read the questions twice.","","문제 - question, 번 - times","dif2 polite"
"486","저는 노래를 못 불러요.","I can't sing.","","부르다 - to sing","dif2 irregular polite"
"487","수업이 12시 50분에 끝나요.","My class ends at 12:50.","","수업 - class","dif2 polite"
"488","한국에 언제 오셨어요?","When did you come to Korea?","","","dif2 honorific"
"489","실례합니다. 은행이 어디에 있어요?","Pardon me. Where is the bank?","","","dif2 polite"
"490","운전 못해요. 운전을 안 배웠어요.","I can't drive. I never learned how.","","운전 - driving","dif2 polite"
"491","한국말을 잘 못해요. 한국말을 잘하고 싶어요.","I can't speak Korean well. I want to speak Korean well.","","","dif2 polite"
"492","어제부터 집에서 쉬었어요.","I have been resting at home since yesterday.","","쉬다 - to rest","dif2 polite"
"493","가끔 서점에 가요.","I go to the bookstore sometimes.","","가끔 - sometimes","dif2 polite"
"494","한국 영화 자주 봐요.","I watch Korean movies often.","","","dif2 polite"
"495","지난 주부터 다음 주까지","from last week until next week","","","dif2 phrase"
"496","어제 왜 파티에 안 오셨어요?","Why didn't you come to the party yesterday?","","","dif2 honorific"
"497","버스에서 내려요.","I get off the bus.","","내리다 - to get off","dif2 polite"
"498","다음 주에 오실 거예요.","She's coming next week.","He will come next week.","""This sentence can't be translated as """"I'm coming next week"""" because you must never refer to yourself using the honorifics (시).""","dif2 honorific"
"499","안녕하십니까? 안준호입니다.","Good afternoon. I'm An Junho.","","","dif2 formal"
"500","저는 운동을 싫어해요.","I don't like sports.","","","dif2 polite"
"501","누가 방을 청소했어요?<div>- 저요.</div>","Who cleaned the room?<div>- Me.</div>","","When you give a one-word answer to a question, attach a '-요' to make it polite.","dif2 polite"
"502","김치를 잘 먹어요?<div>- 아니요, 잘 못 먹어요.</div>","Do you eat kimchi well?<div>- No, I don't eat (kimchi well).</div>","Are you able to eat (a lot of) kimchi without any problems?<div>- No, I can't.</div>","","dif2 polite"
"503","지수 씨한테 잘 어울려요.","They look good on you (Jisu).","","잘 어울리다 - to fit well","dif2 polite"
"504","저는 지금 밥을 먹기 싫습니다.","I don't want to eat now.","","","dif2 formal"
"505","일을 하기 싫습니다.","I don't want to work.","","","dif2 formal"
"506","우리 아들은 방 청소하기 싫어합니다.","Our son doesn't like to clean the room.","","When you talk about a third person, you have to use 싫어하다 instead of 싫다.","dif2 formal"
"507","이거 싫어요? 이거는 어때요?","You don’t like this? How about this one?","","","dif2 polite"
"508","어디에서 삽니까?","Where do you live?","","살다 - to live","dif2 formal"
"509","남자 친구와 얼마나 사귀었어요?","How long have you been dating your boyfriend?","","사귀다 - to date","dif2 polite"
"510","여기에서 학교까지 버스가 있어요?","Is there a bus that goes from here to school?","","버스 - bus","dif2"
"511","누가 저를 불렀어요?","Who called me?","","부르다 - to call someone's name","dif2 irregular polite"
"512","치마를 입고 있어요.","I'm wearing a skirt.","","","dif2"
"513","부츠를 신고 있어요.","I'm wearing boots.","","","dif2 polite"
"514","저는 그분을 꼭 만나야 됩니다.","I definitely need to meet this person.","I need to meet him at any cost.","","dif2 formal"
"515","아이가 혼자서 잘 놉니다.","The girl plays well by herself.","","아이 - child, 혼자서 - alone, 놀다 - to play","dif2 formal irregular"
"516","어느 옷이 더 나아요?","Which outfit is better?","","'어느' means 'which' and it is used when you have to choose from a few known options. In this case, a girl is holding two outfits in her hand and asking which one is better. 낫다 - to be better","dif2 irregular polite"
"517","오늘은 비가 왔어요. 그래서 집에 있었어요.","It was raining today so I stayed at home.","","""<span style="""" font-style: normal; font-weight: normal;"""">그래서 - so, therefore</span>""","dif3 polite"
"518","저는 학생이에요. 그래서 돈이 없어요.","I'm a student so I don't have money.","","""<span style="""""""">그래서 - therefore,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">돈 - money</span>""","dif3 polite"
"519","운전 할 수 있어요?","Can you drive?","","""'-ㄹ 수 있다' - to be able to do something. '수' means 'way, method' so literally it means """"Is there a way to do driving?""""""","dif3 polite"
"520","일본어 할 수 있어요?","Can you speak Japanese?","","""<span style="""" font-style: normal; font-weight: normal;"""">일본어 - Japanese</span>""","dif3 polite"
"521","이거 읽을 수 있어요?","Can you read this?","","","dif3 polite"
"522","재준 씨가 캐럴 씨에게 선물을 줍니다.","Jaejun gives a present to Carol.","","에게 is the same as 한테, used more in the written language.","dif3 formal"
"523","선생님이 학생들에게 한국어를 가르칩니다.","The teacher teaches Korean to the students.","","""<span style="""""""">들 - the plural particle,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">에게 - to</span>""","dif3 formal"
"524","도서관에 가서 공부했어요.","I went to the library and studied.","","""'-아/어+<span style="""" font-style: normal; font-weight: normal;"""">서' is a verb ending that connects two sentences. It is a bit similar to '-고' but not the same. '서' is used when a subject performs two actions one after the other and they are connected. For example, going to the library and studying are connected because the studying takes place in the library.</span>""","dif3 polite"
"525","저녁에 친구를 만나서 영화를 봤어요.","I met my friend in the evening and (we) watched a movie.","","When the sentence is in the past tense, you don't add the past suffix before '서', the tense is expressed only through the last verb of the sentence.","dif3 polite"
"526","아침에 일어나서 세수해요.","I wake up in the morning and wash my face.","","The two actions in this sentence are connected and happen one after the other so using '서' is appropriate here.","dif3 polite"
"527","점심에 김밥을 만들어서 먹었어요.","I made gimbap at lunchtime and ate it.","","""<span style="""" font-style: normal; font-weight: normal;"""">점심 - lunch</span>""","dif3 polite"
"528","수박은 사과보다 더 커요.","A watermelon is bigger than an apple.","","""<span style="""""""">수박 - watermelon,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">보다 - than</span>""","dif3 polite"
"529","오늘은 어제보다 더워요.","Today is hotter than yesterday.","","""<span style="""" font-style: normal; font-weight: normal;"""">어제보다 - 'than yesterday'. The word '더' is omitted here because Koreans often do that if the context is clear enough.</span>""","dif3 irregular polite"
"530","영어는 한국어보다 어려워요.","English is more difficult than Korean.","","""<span style="""""""">영어 - English</span>""","dif3 irregular polite"
"531","어제보다 일찍 갈 거예요.","I’m going to go earlier than yesterday.","","""<span style="""" font-style: normal; font-weight: normal;"""">일찍 - early. You could say '더&nbsp;일찍' but it's not necessary.</span>""","dif3 polite"
"532","현정 씨가 저보다 더 잘 해요.","Hyeonjeong is better than me (at doing that).","","""<span style="""""""">저보다 - than me</span>""","dif3 polite"
"533","뭐가 제일 좋아요?","What is your favorite?","What is the best?","""<span style="""" font-style: normal; font-weight: normal;"""">제일 - the most</span>""","dif3 polite"
"534","내일 비가 오면","if it rains tomorrow","","""-면 is the ending that means """"if""""""","dif3 phrase"
"535","이거 다 먹으면 배가 아플 거예요.","If you eat all of it, your stomach will hurt.","","""<span style="""""""">다 - all,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">배 - stomach</span>""","dif3 polite"
"536","리모콘을 찾으면 TV를 볼 수 있어요.","If you find the remote control, you can watch TV.","","""<span style="""" font-style: normal; font-weight: normal;"""">리모콘 - remote control, 찾다 - to find</span>""","dif3 polite"
"537","지금 안 오면 후회할 거예요.","If you don’t come now, you will regret it.","","후회하다 - to regret","dif3 polite"
"538","언젠가 미국에 가고 싶어요.","I want to go to the US someday.","","""<span style="""" font-style: normal; font-weight: normal;"""">언젠가 - someday,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">미국 - the US</span>""","dif3 polite"
"539","뭔가 찾았어요?","Did you find something?","","""<span style="""" font-style: normal; font-weight: normal;"""">뭔가 - something</span>""","dif3 polite"
"540","누군가 왔어요.","Someone came.","","""<span style="""" font-style: normal; font-weight: normal;"""">누군가 - someone</span>""","dif3 polite"
"541","뭐 샀어요?","What did you buy?","Did you buy something?","Koreans often shorten '뭔가' to '뭐' so the only difference between the two meanings is the intonation of the sentence. If you stress '뭐' it means 'what', otherwise it means 'something'.","dif3 polite"
"542","언제 중국에 갈 거예요?","When are you going to go to China?","Are you going to go to China someday?","""'<span style="""" font-style: normal; font-weight: normal;"""">언제' can mean both 'when' and 'someday'</span>""","dif3 polite"
"543","저는 학교에 가지만 친구는 안 가요.","I go to school, but my friend doesn't.","","'-지만' is an ending that connects sentences and expresses contrast. It is attached to the stem of the first verb.","dif3 polite"
"544","제주도 여행이 어땠어요?","How was your trip to Jeju Island?","","""<span style="""" font-style: normal; font-weight: normal;"""">제주도 - Jeju Island,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">여행 - trip</span>""","dif3 polite"
"545","재미있었지만 좀 더웠어요.","It was fun, but the weather was a little hot.","","""<span style="""" font-style: normal; font-weight: normal;"""">지만 - but,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">좀 - a little, 덥다 - to be hot</span>""","dif3 irregular polite"
"546","와 주세요.","Please come (for my sake).","Please do me a favor and come.","'-아/어+주세요' is a more polite construction than '-(으)세요'. It includes the meaning of doing the speaker a favor.","dif3 honorific"
"547","해 주세요.","Please do it for me.","","","dif3 honorific"
"548","가르쳐 주세요.","Please teach me.","Please tell me (how to do something).","""The meaning of 'to me' or 'for me' is included in '<span style="""" font-style: normal; font-weight: normal;"""">주세요'.</span>""","dif3 honorific"
"549","아이스크림 사 줘요.","Buy me an ice cream (please).","","This is a less polite expression than '사 주세요' because it doesn't include the honorific suffix '시'.","dif3 polite"
"550","영어를 배우고 있어요. 도와 주세요.","I’m learning English. Please help me.","","""<span style="""""""">돕다 - to help</span>""","dif3 honorific irregular"
"551","도와 줄 수 있어요?","Can you help me?","","This sentence combines '아+주다' (me, for me) and 'ㄹ 수 있다' (can).","dif3 irregular polite"
"552","무서워요. 같이 가 주세요.","I’m scared. Please go with me.","","무섭다 - to be scared","dif3 honorific irregular"
"553","왼쪽으로 가다","to go to the left","to go through the left side","""<span style="""" font-style: normal; font-weight: normal;"""">왼쪽 - left,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">로 - particle showing direction</span>""","dif3 phrase"
"554","펜으로 쓰다","to write with a pen","","""<span style="""" font-style: normal; font-weight: normal;"""">펜 - pen, '로' - using</span>""","dif3 phrase"
"555","한국어로 말하다","to talk in Korean","","""<span style="""" font-style: normal; font-weight: normal;"""">'로' - using</span>""","dif3 phrase"
"556","치즈로 유명하다","to be famous for cheese","","""<span style="""" font-style: normal; font-weight: normal;"""">치즈 - cheese, 유명하다 - to be famous</span>""","dif3 phrase"
"557","사고로 다치다","to get hurt in an accident","","""<span style="""" font-style: normal; font-weight: normal;"""">사고 - accident,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">다치다 - to get hurt</span>""","dif3 phrase"
"558","이거 뭐로 만들었어요?","What did you make this with?","What is this made of?","만들다 - to make","dif3 polite"
"559","오늘 택시로 왔어요?","Did you come by taxi today?","","""<span style="""" font-style: normal; font-weight: normal;"""">택시 - taxi</span>""","dif3 polite"
"560","버스로 갈 거예요.","I’m going to go by bus.","","""<span style="""""""">버스 - bus</span>""","dif3 polite"
"561","저를 친구로 생각해요?","Do you think of me as a friend?","","생각하다 - to think","dif3 polite"
"562","2번 출구로 나오세요.","Come out through exit number 2.","","""<span style="""" font-style: normal; font-weight: normal;"""">출구 - exit, 나오다 - to come out</span>""","dif3 honorific"
"563","다 주세요.","Give me all of it.","","다 - all","dif3 honorific"
"564","다 했어요.","I’ve done all of it.","I finished it.","","dif3 polite"
"565","다 왔어요?","Are we there yet?","Did everybody come?","'다' modifies verbs indicating that the action is complete. In this case, the question is whether the action of 'coming' is finished.","dif3 polite"
"566","커피를 다 마시다","to drink all the coffee","","In English the word 'all' modifies 'coffee', but in Korean it modifies the verb.","dif3 phrase"
"567","책을 다 읽다","to read all of the book, to finish reading it","to read all the books","","dif3 phrase"
"568","옷&nbsp;더 사고 싶어요.","I want to buy more clothes.","","'더' also modifies verbs, not nouns.","dif3 polite"
"569","10분 더 기다려 주세요.","Please wait for ten more minutes.","","분 - minutes, 기다리다 - to wait","dif3 honorific"
"570","전화 다 했어요?","Did you finish talking on the phone?","Did everyone make a phone call?","","dif3 polite"
"571","준비 다 했어요.","I finished the preparation.","All of us are prepared.","준비하다 - to prepare","dif3 polite"
"572","더 보여 주세요.","Show me more, please.","","보이다 - to show","dif3 honorific"
"573","더 공부하고 싶으면 TTMIK에 오세요.","If you want to study more, come to TTMIK.","","""-<span style="""" font-style: normal; font-weight: normal;"""">고 싶으면 - if you want to</span>""","dif3 honorific"
"574","아버지는 회사에 가셨어요.","My father went to the office.","","""<span style="""" font-style: normal; font-weight: normal;"""">회사 - company,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">가셨어요 - the honorific past tense form: 가+시+었어요.</span>""","dif3 honorific"
"575","어머니는 어제 책을 읽으셨어요.","My mother read the book yesterday.","","","dif3 honorific"
"576","언제 결혼하셨어요?","When did you get married?","","""<span style="""" font-style: normal; font-weight: normal;"""">결혼하다 - to get married</span>""","dif3 honorific"
"577","손님이 세 분 오셨어요.","Three guests came.","","In an honorific sentence, '분' is used as a counter for people instead of '명'.","dif3 honorific"
"578","책상 왼쪽에 화분이 있어요.","There's a plant to the left of the desk.","","""<span style="""" font-style: normal; font-weight: normal;"""">왼쪽 - left side,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">화분 - flower pot</span>""","dif3 polite"
"579","책상 오른쪽에 옷걸이가 있어요.","The coat hanger is to the right of the desk.","","""<span style="""" font-style: normal; font-weight: normal;"""">오른쪽 - right side,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">옷걸이 - coat hanger</span>""","dif3 polite"
"580","가지 마세요.","Don't go.","","-지 말다 is the construction used to make negative orders or requests (please note that it cannot be used with adjectives/descriptive verbs, it has to be used with action verbs)","dif3 honorific"
"581","하지 마세요.","Don't do it.","","","dif3 honorific"
"582","만지지 마세요.","Don't touch it.","","만지다 - to touch","dif3 honorific"
"583","웃지 마세요.","Don’t laugh.","","웃다 - to laugh","dif3 honorific"
"584","걱정하지 마세요.","Don’t worry.","","""<span style="""" font-style: normal; font-weight: normal;"""">걱정하다 - to worry</span>""","dif3 honorific"
"585","경은 씨한테 말하지 마세요.","Please don’t tell Kyeong-eun (about it).","","말하다 - to tell","dif3 honorific"
"586","아직 보내지 마세요.","Don’t send it yet.","","""<span style="""" font-style: normal; font-weight: normal;"""">보내다 - to send</span>""","dif3 honorific"
"587","아직 다 안 썼어요.","I haven’t finished writing it.","I didn't write all of it yet.","쓰다 - to write","dif3 polite"
"588","두 시 십 분 전이에요.","It's ten minutes to two.","It's 1:50.","""<span style="""" font-style: normal; font-weight: normal;"""">전 - before</span>""","dif3 polite"
"589","저 사람 너무 멋있어요!","That guy is really cool.","","멋있다 - to be cool, 너무 - very (in colloquial speech)","dif3 polite"
"590","이거 너무 좋아요.","I really like this.","This is really good.","","dif3 polite"
"591","여기 너무 시끄러워요.","It’s too noisy here.","It's very noisy here.","""<span style="""""""">시끄럽다 - to be noisy</span>""","dif3 irregular polite"
"592","이것을 어떻게 생각합니까?","What's your opinion of this?","","""<span style="""" font-style: normal; font-weight: normal;"""">어떻게 - how, 생각하다 - to think</span>""","dif3 formal"
"593","저는 아침마다 달리기를 해요.","I run every morning.","","""<span style="""" font-style: normal; font-weight: normal;"""">마다 - every, 달리다 - to run</span>""","dif3 polite"
"594","이것은 웨슬리의 책이에요.","This is Wesley's book.","","""<span style="""" font-style: normal; font-weight: normal;"""">의 - possessive particle. It's usually pronounced as [에]. It often gets omitted in colloquial speech.</span>""","dif3 polite"
"595","이분은 부디 씨의 선생님입니다.","This is Budi's teacher.","","""<span style="""" font-style: normal; font-weight: normal;"""">이분 - this person (honorific)</span>""","dif3 formal"
"596","제 이름은 요코입니다.","My name is Yoko.","","제 = 저의. Similarly, 내 = 나의 (my), 네 = 너의 (your)","dif3 formal"
"597","이것은 누구의 우산입니까?","Whose umbrella is this?","","""<span style="""""""">우산 - umbrella</span>""","dif3 formal"
"598","재준 씨의 우산입니다.","It's Jaejun's umbrella.","","","dif3 formal"
"599","가지&nbsp;않습니다.","I don't go.","I'm not going.","-지 않다 - negation","dif3 formal"
"600","저는 오징어를 먹지 않아요.","I don't eat squid.","","In simple sentences, the '안 먹어요' form is used more often, but this form is used when you want to combine the negation with other grammatical structures. For example, 가고 싶지 않아요 - I don't want to go.","dif3 polite"
"601","방이 넓지 않아요.","The room is not spacious.","","","dif3 polite"
"602","한국에 한 달쯤 있을 거예요.","I will be in Korea for approximately one month.","","""<span style="""" font-style: normal; font-weight: normal;"""">쯤 - approximately</span>""","dif3 polite"
"603","100명쯤 왔어요.","About 100 people came.","","""<span style="""" font-style: normal; font-weight: normal;"""">쯤 - about</span>""","dif3 polite"
"604","독일에서 2년쯤 살았어요.","I lived in Germany for about two years.","","""<span style="""" font-style: normal; font-weight: normal;"""">독일 - Germany</span>""","dif3 polite"
"605","내일 몇 시쯤 만날까요?","Around what time shall we meet tomorrow?","","","dif3 polite"
"606","다섯 시쯤 어때요?","How about around five o’clock?","","""<span style="""" font-style: normal; font-weight: normal;"""">어때요 - how about</span>""","dif3 polite"
"607","약국에 약을 사러 가요.","I'm going to the pharmacy in order to buy some medicine.","","""<span style="""" font-style: normal; font-weight: normal;"""">약국 - pharmacy,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">약 - medicine. '-러' is used to express a person's reason for coming or going somewhere. In this case the reason is to buy something, therefore the '러' is attached to the word 'buy'.</span>""","dif3 polite"
"608","야구 구경하러 가요.","I'm on my way to watch a baseball game.","","""<span style="""" font-style: normal; font-weight: normal;"""">야구 - baseball, 구경하다 - to watch</span>""","dif3 polite"
"609","우체국에 편지를 보내러 가요.","I'm going to the post office in order to send a letter.","","""<span style="""" font-style: normal; font-weight: normal;"""">편지 - letter, 보내다 - to send</span>""","dif3 polite"
"610","한국어를 배우러 왔어요.","I came here to learn Korean.","","","dif3 polite"
"611","미용실에 머리 자르러 가요.","I'm going to the beauty salon to get a hair cut.","","""<span style="""" font-style: normal; font-weight: normal;"""">미용실 - beauty salon, 자르다 - to cut</span>""","dif3 polite"
"612","은행에 돈 바꾸러 가요.","I'm going to the bank in order to exchange money.","","바꾸다 - to exchange","dif3 polite"
"613","밥 먹으러 가요.","I'm on my way to eat.","","","dif3 polite"
"614","저는 이번 주말에 정민 씨하고 같이 부산에 갈 거예요.","This weekend I'm going to go to Busan with Jeongmin.","","""<span style="""" font-style: normal; font-weight: normal;"""">이번 주말 - this weekend</span>""","dif3 polite"
"615","공부할게요.","I'll study.","","""'ㄹ게요' is used for the future tense but it is not the same as 'ㄹ 거예요'. 'ㄹ게요' expresses your decision to do something as a result of (or reaction to) what someone else said. For example, if your mother tells you you should study more you can say """"Okay, I'll study"""" using this ending. Or if others around you are talking about going somewhere and you say '저도 갈게요' (I'll go as well), it means that you just decided going with them as a result of this conversation. If you already originally planned to go with them then you should use the standard future tense.""","dif3 polite"
"616","저 갈게요.","(If you don't mind) I'll go.","","'ㄹ게요' can also be used to check what the other person thinks about your plan. If you start a conversation with this ending it means you want feedback/approval/permission from the other person.","dif3 polite"
"617","저 갈게요. 안녕히 계세요.","I’m going to go. Take care.","","The meaning of the first sentence is 'I'm going to go unless there is something else I have to do or unless you want me to stay.'","dif3 polite"
"618","그래요? 다시 할게요.","Is that so? I’ll do it again.","","""<span style="""" font-style: normal; font-weight: normal;"""">그래요 - a form of '그렇다' (to be like that),&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">다시 - again</span>""","dif3 polite"
"619","내일 4시쯤에 갈게요. 괜찮아요?","I’ll be there at around 4 o’clock tomorrow. Is that alright?","","""<span style="""" font-style: normal; font-weight: normal;"""">괜찮다 - to be okay</span>""","dif3 polite"
"620","그렇지만 야구는 좋아하지 않아요.","However, I don't like baseball.","","""<span style="""" font-style: normal; font-weight: normal;"""">야구 - baseball</span>""","dif3 polite"
"621","- 도쿄가 어때요?<div>- 도쿄는 많이 복잡해요.</div>","- How's Tokyo?<div>- Tokyo is really crowded.</div>","","""<span style="""""""">도쿄 - Tokyo,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">많이 - a lot, 복잡하다 - to be crowded. It is typical that the question contains a subject particle and the answer contains a topic particle.</span>""","dif3 polite"
"622","비가 와서 못 가요.","It rains so I can’t go.","","""'<span style="""" font-style: normal; font-weight: normal;"""">서' in this sentence has the same meaning as '그래서'. The first part is the reason and the second part is the result.</span>""","dif3 polite"
"623","비가 와서 못 갔어요.","It rained so I couldn’t go.","","The tense of the sentence is expressed only through the last verb.","dif3 polite"
"624","오늘은 바빠서 영화를 못 봐요.","I’m busy today so I can’t watch the movie.","","","dif3 polite"
"625","공원에 가서 책을 읽을 거예요.","I’m going to go to the park and read a book.","","'서' is used in this case because the two actions are linked - the book reading will take place in the park","dif3 polite"
"626","돈을 모아서 뭐 할 거예요?","<div>What are you going&nbsp;to do with the money you save up?</div>","lit. You save up money and what will you do?","모으다 - to gather, save up","dif3 polite"
"627","케익을 사서 친구한테 줄 거예요.","I’m going to buy a cake and give it to a friend.","I’m going to buy a cake in order to give it to a friend.","""<span style="""" font-style: normal; font-weight: normal;"""">케익 - cake</span>""","dif3 polite"
"628","예를 들어서","for example","","This is a fixed expression","dif3 phrase"
"629","한국에 가서 뭐 할 거예요?","What are you going to do in Korea once you get there?","What will you do in Korea after you go there?","This sentence asks for your plan or purpose related to going to Korea. English doesn't have such a sentence pattern so it may take some time to get used to it.","dif3 polite"
"630","서울에 와서 좋아요.","I’m glad to have come to Seoul.","Since I came to Seoul, I’m glad.","","dif3 polite"
"631","술을 너무 많이 마셔서 머리가 아파요.","I drank too much so my head is aching.","","""<span style="""" font-style: normal; font-weight: normal;"""">술 - alcohol,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">머리 - head</span>""","dif3 polite"
"632","요즘에 바빠서 친구들을 못 만나요.","These days I’m busy so I can’t meet my friends.","","""<span style="""" font-style: normal; font-weight: normal;"""">요즘 - these days</span>""","dif3 polite"
"633","열심히 공부해서 장학금을 받을 거예요.","I’m going to study hard so I can get/and I will get a scholarship.","","""<span style="""" font-style: normal; font-weight: normal;"""">열심히 - diligently,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">장학금 - scholarship, 받다 - to receive</span>""","dif3 polite"
"634","한국어가 너무 재미있어서 매일 공부하고 있어요.","Korean is so much fun that I’m studying it every day.","","""<span style="""" font-style: normal; font-weight: normal;"""">매일 - every day</span>""","dif3 polite"
"635","도쿄는 서울하고 비슷해요?","Is Tokyo similar to Seoul?","","""<span style="""" font-style: normal; font-weight: normal;"""">서울하고 - to Seoul, 비슷하다 - to be similar</span>""","dif3 polite"
"636","이거랑 이거랑 같아요?","Are this and this the same?","Is this the same as this?","같다 - to be the same, the first '랑' means 'and', the second '랑' means 'as'.","dif3 polite"
"637","우리는 나이가 같아요.","We have the same age.","<div>lit. “For us, the&nbsp;age is the same.”</div>","""<span style="""" font-style: normal; font-weight: normal;"""">나이 - age</span>""","dif3 polite"
"638","커피 같아요.","It’s like coffee.","It seems to be coffee.","If you don't use '랑' or '하고' with '같다', it changes the meaning to 'to be like'.","dif3 polite"
"639","거짓말 같아요.","It seems to be a lie.","It sounds like a lie.","""<span style="""" font-style: normal; font-weight: normal;"""">거짓말 - lie</span>""","dif3 polite"
"640","저 사람은 로봇 같아요.","That person is like a robot.","","""<span style="""" font-style: normal; font-weight: normal;"""">로봇 - robot</span>""","dif3 polite"
"641","경은 씨는 천사 같아요.","Kyeong-eun is like an angel.","","""<span style="""" font-style: normal; font-weight: normal;"""">천사 - angel</span>""","dif3 polite"
"642","현우 씨는 천재 같아요.","Hyunwoo seems to be a genius.","","""<span style="""" font-style: normal; font-weight: normal;"""">천재 - genius</span>""","dif3 polite"
"643","5분만 기다려 주세요.","Please wait for just five minutes.","","기다리다 - to wait","dif3 honorific"
"644","""<span style="""" font-style: normal; font-weight: normal;"""">우리 아이는 하루 종일 게임만 해요.</span>""","My kids play games all day long.","My kids do nothing but play games all day long.","""<span style="""" font-style: normal; font-weight: normal;"""">아이 - children,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">하루 종일 - all day long,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">게임 - game</span>""","dif3 polite"
"645","준호만 대학에 입학했어요.","Only Junho was accepted to the university.","","입학하다 - to get into (a school)","dif3 polite"
"646","민우는 다른 책은 안 읽고 만화책만 읽어요.","Minu reads comic books only, and no other books.","","""<span style="""" font-style: normal; font-weight: normal;"""">다른 - other (different),&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">만화책 - comic book</span>""","dif3 polite"
"647","우리 딸은 학교에서만 공부하고 집에서는 공부하지 않아요.","Our daughter studies only at school, and doesn't study at home.","","""<span style="""" font-style: normal; font-weight: normal;"""">딸 - daughter</span>""","dif3 polite"
"648","커피에 설탕과 크림 다 넣으세요?","Do you take both sugar and cream in your coffee?","","""<span style="""" font-style: normal; font-weight: normal;"""">설탕 - sugar,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">크림 - cream, 넣다 - to put in</span>""","dif3 polite"
"649","불 좀 꺼 주세요.","Please turn off the lights.","","""<span style="""" font-style: normal; font-weight: normal;"""">불 - light,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">좀 - please, 끄다 - to turn off</span>""","dif3 honorific"
"650","네, 영화가 너무 슬퍼서 울고 있어요.","Yes, I'm crying because the movie was so sad.","","슬프다 - to be sad, 울다 - to cry","dif3 polite"
"651","주말에 소풍 잘 갔다 왔어요?","Did you have a nice picnic over the weekend?","","""<span style="""" font-style: normal; font-weight: normal;"""">주말 - weekend,&nbsp;</span><span style="""" font-style: normal; font-weight: normal;"""">소풍 - picnic</span>""","dif3 polite"
"652","아니요, 날씨가 나빠서 소풍을 못 갔어요.","No, the weather was bad, so I couldn't go.","","나쁘다 - to be bad","dif3 polite"
"653","배가 많이 아팠어요. 그래서 학교에 못 왔어요.","I had a bad stomachache. So I couldn't come to school.","","아프다 - to be sick, in pain","dif3 polite"
"654","수업 전에","before class","","""<span style="""" font-style: normal; font-weight: normal;"""">수업 - class, 전 - before</span>""","dif3 phrase"
"655","1시 전에","before 1 o’clock","","","dif3 phrase"
"656","집에 가기 전에","before going home","before you go home","'기' turns the verb into a noun","dif3 phrase"
"657","돈을 내기 전에","before paying money","","내다 - to pay","dif3 phrase"
"658","여기 오기 전에 뭐 했어요?","What did you do before you came here?","","","dif3 polite"
"659","집에 가기 전에 술 마실 거예요.","I’m going to drink before I go home.","","술 - alcohol","dif3 polite"
"660","들어오기 전에 노크 하세요.","Knock before you come in.","","들어오다 - to come in, 노크 하다 - to knock","dif3 honorific"
"661","사기 전에 잘 생각하세요.","Think well before you buy it.","","","dif3 honorific"
"662","도망가기 전에 잡으세요.","Catch him before he runs away.","","도망가다 - to run away, 잡다 - to catch","dif3 honorific"
"663","이거 너무 귀여워요.","This is so cute.","","귀엽다 - to be cute","dif3 irregular polite"
"664","019-8729-9509예요.","""It's&nbsp;<span style="""" font-style: normal; font-weight: normal;"""">019-8729-9509.</span>""","","의 is attached to the second group of numbers when you read it out loud.","dif3 polite"
"665","TTMIK에서 공부하면 한국어 공부가 쉬워요.","If you study at TTMIK, studying Korean is easy.","","쉽다 - to be easy","dif3 irregular polite"
"666","네, 버스로 한 시간쯤 걸려요.","Yes, it takes about one hour by bus.","","걸리다 - to take (time)","dif3 polite"
"667","비가 와요. 그래도 갈 거예요?","It’s raining. Are you still going?","","""<span style="""" font-style: normal; font-weight: normal;"""">그래도 - but still, however</span>""","dif3 polite"
