"index","word","meaning","hanzi","category"
"1334","태국","Thailand","泰國",""
"1335","자랑하다","to be proud (of), boast (about)","",""
"1336","세탁소","laundry, dry cleaner's","洗濯所",""
"1337","케이크","cake",""," eng food "
"1338","공장","factory","工場",""
"1339","식다","to cool off, get cold","",""
"1340","청소년","teenager, youth, adolescent","靑少年",""
"1341","아무리","however, no matter how","",""
"1342","침실","bedroom","寢室",""
"1343","끓이다","to boil, heat, cook","",""
"1344","글자","letter, character","-字",""
"1345","멋","stylishness, elegance","",""
"1346","순서","order, sequence, procedure","順序",""
"1347","훌륭하다","to be excellent, great, superb, fine","",""
"1348","음식점","restaurant","飮食店",""
"1349","멀리","far, far away","",""
"1350","실패하다","to fail, go wrong","失敗",""
"1351","한두","one or two","",""
"1352","서류","documents, papers","書類",""
"1353","붙다","to stick to, adhere to","",""
"1354","관광객","tourist","觀光客",""
"1355","메모","memo, note",""," eng "
"1356","전체","the whole, entire","全體",""
"1357","데려오다","to bring, go and get, fetch someone","",""
"1358","책장","bookshelf, bookcase;<div>the page of a book</div>","冊欌,&nbsp;冊張",""
"1359","이불","comforter, bedding","",""
"1360","지각하다","to be late (for something);<br>to perceive, sense, be aware","遲刻,&nbsp;知覺",""
"1361","나흘","four days","",""
"1362","고추장","red-pepper paste","-醬"," food "
"1363","맞추다","to set, adjust","",""
"1364","출입","entry;<div>coming and going</div>","出入",""
"1365","그래도","nevertheless, still, however","",""
"1366","설악산","Seoraksan (mountain)","雪嶽山",""
"1367","잘되다","to be going well, come out well","",""
"1368","도로","road, street;<div>back, again</div>","道路",""
"1369","소","cow","",""
"1370","적당하다","to be appropriate, suitable, moderate, proper","適當",""
"1371","퍼센트","percent",""," eng "
"1372","연예인","entertainer, celebrity","演藝人",""
"1373","흔들다","to shake, wave, swing","",""
"1374","자세히","closely, in detail","仔細",""
"1375","왼손","left hand","",""
"1376","국내","inside country, domestic","國內",""
"1377","서두르다","to hurry up, hasten","",""
"1378","일기","diary, journal","日記",""
"1379","보라색","violet, purple",""," color "
"1380","긴장하다","to be nervous, be tense","緊張",""
"1381","걸음","step","",""
"1382","한식집","Korean restaurant","韓食-",""
"1383","졸다","to doze off","",""
"1384","노인","old people","老人",""
"1385","날마다","every day","",""
"1386","관계","relationship, connection","關係",""
"1387","돌리다","to turn, spin","",""
"1388","호","<div>a number (count.);</div><div>issue;</div><div>arc</div>","號",""
"1389","원피스","dress",""," eng "
"1390","신청하다","to apply for, request","申請",""
"1391","반드시","surely, certainly","",""
"1392","식품","food items, groceries","食品",""
"1393","마중하다","to (come to) meet someone","",""
"1394","문학","literature","文學",""
"1395","기름","oil;<div>fat</div>","",""
"1396","유치원","kindergarten","幼稚園",""
"1397","섞다","to blend, mix","",""
"1398","기온","temperature","氣溫",""
"1399","꽃병","flower vase","",""
"1400","충분하다","to be enough, be sufficient","充分",""
"1401","또는","or","",""
"1402","이전","the previous, before, formerly;<br>relocation, move","以前,&nbsp;移轉",""
"1403","꾸다","to dream;<div>to borrow</div>","",""
"1404","태도","attitude, manner","態度",""
"1405","센터","center",""," eng "
"1406","식초","vinegar","食醋"," food "
"1407","지르다","to yell, shout, scream","",""
"1408","태풍","typhoon","颱風",""
"1409","돌","stone, rock;<div>first birthday</div>","",""
"1410","정하다","to decide, determine, choose","定",""
"1411","이따가","a little later","",""
"1412","주위","the circumference, perimeter;<div>surroundings</div>","周圍",""
"1413","슬퍼하다","to feel sad","",""
"1414","상자","box","箱子",""
"1415","위쪽","the upper direction","",""
"1416","선풍기","electric fan","扇風機",""
"1417","싣다","to load (up)","",""
"1418","재료","material, ingredient","材料",""
"1419","어머님","mother (hon.)","",""
"1420","입학하다","to enter a school, be admitted into a school","入學",""
"1421","스파게티","spaghetti",""," eng food "
"1422","전기","electricity;<div>biography</div>","電氣,&nbsp;傳記",""
"1423","답답하다","<div>to feel frustrated;</div>to be stuffy",""," double "
"1424","지방","local area, region;<div>fat</div>","地方,&nbsp;脂肪",""
"1425","호랑이","tiger","",""
"1426","덕분에","thanks to","德分",""
"1427","빨다","to wash (laundry);<div>to suck</div>","",""
"1428","치과","dentist","齒科",""
"1429","냄비","pot, saucepan","",""
"1430","상","award, prize;<div>table</div>","賞,&nbsp;床",""
"1431","끓다","to boil, simmer","",""
"1432","자유","freedom, liberty","自由",""
"1433","디자인","design",""," eng "
"1434","칭찬하다","to praise, compliment","稱讚",""
"1435","무언가","something","",""
"1436","가요","song","歌謠",""
"1437","쌓다","to pile up;<div>to accumulate</div>","",""
"1438","된장찌개","soy bean paste stew","-醬--"," food "
"1439","서랍","drawer","",""
"1440","통장","bankbook","通帳",""
"1441","돌려주다","to give back, return something","",""
"1442","경주","race, run;<div>Gyeongju</div>","競走, 慶州",""
"1443","스스로","oneself","",""
"1444","장보다","to go to market, go grocery shopping","場",""
"1445","시골","country, rural area","",""
"1446","자판기","vending machine","自販機",""
"1447","붙이다","to stick, attach","",""
"1448","한자","Chinese character","漢字",""
"1449","스웨터","sweater",""," eng "
"1450","입구","entrance, gateway","入口",""
"1451","붉다","to be red, crimson",""," color "
"1452","신분증","ID card","身分證",""
"1453","뱀","snake","",""
"1454","예매하다","to book, reserve, buy in advance;<div>to sell tickets in advance</div>","豫買,&nbsp;豫賣",""
"1455","웃음","laughter, smile","",""
"1456","식빵","bread","食-"," food "
"1457","그치다","to stop (doing), cease","",""
"1458","단풍","tinged autumn leaves","丹楓",""
"1459","두세","two or three","",""
"1460","입장권","admission ticket","入場券",""
"1461","찌다","to gain weight;<div>to be steaming hot, be sultry;</div><div>to cook with steam</div>","",""
"1462","신부","bride;<div>Catholic priest</div>","新婦,&nbsp;神父",""
"1463","달러","dollar",""," eng "
"1464","소중하다","to be valuable, important, precious","所重",""
"1465","드디어","finally, at (long) last","",""
"1466","속도","speed, pace","速度",""
"1467","큰소리","loud voice;<div>bragging</div>","",""
"1468","연결하다","to connect, link, attach","連結",""
"1469","미역국","seaweed soup",""," food "
"1470","중심","center, core, balance","中心,&nbsp;重心",""
"1471","틀다","to twist, turn;<div>to switch on</div>","",""
"1472","동시에","at the same time","同時",""
"1473","어린아이","child","",""
"1474","능력","ability, capability","能力",""
"1475","바르다","to apply, put on","",""
"1476","기타","guitar;<br>etc.","其他"," eng "
"1477","바깥","outside","",""
"1478","화려하다","to be splendid, flashy","華麗",""
"1479","옷걸이","coat hanger","",""
"1480","명절","(national) holiday","名節",""
"1481","굵다","to be thick","",""
"1482","관광지","tourist attraction [spot]","觀光地",""
"1483","앞쪽","the front","",""
"1484","왕","king","王",""
"1485","줄이다","to reduce, decrease","",""
"1486","각각","each, every","各各"," double "
"1487","상추","lettuce",""," food "
"1488","진하다","<div>to be dark;</div>to be thick, strong, rich","津",""
"1489","그저께","day before yesterday","",""
"1490","약사","pharmacist","藥師",""
"1491","찾아보다","to look for, search","",""
"1492","차례","order, sequence;<div>time, turn;</div><div>memorial service for ancestors</div>","次例,&nbsp;茶禮",""
"1493","빌딩","building",""," eng "
"1494","미용실","beauty salon, hairdresser's","美容室",""
"1495","틀리다","to be wrong, mistaken;<div>to make a mistake</div>","",""
"1496","활동","activity","活動",""
"1497","여기저기","here and there","",""
"1498","분명하다","to be clear, obvious","分明",""
"1499","깊이","depth;<div>deeply</div>","",""
"1500","인간","human being, mankind","人間",""
"1501","검다","to be black",""," color "
"1502","친척","relatives","親戚",""
"1503","떡볶이","rice-stick with vegetables",""," food "
"1504","성적","grade, mark;<div>sexual</div>","成績,&nbsp;性的",""
"1505","기르다","to raise, look after;<div>to grow</div>","",""
"1506","정거장","station, stop","停車場",""
"1507","서비스","service",""," eng "
"1508","교환하다","to exchange, trade","交換",""
"1509","열흘","ten days","",""
"1510","할인","discount","割引",""
"1511","모자라다","to be insufficient","",""
"1512","방문","room door","房門",""
"1513","아무튼","anyway, in any case","",""
"1514","검사","prosecutor, district attorney;<div>examination, inspection, check</div>","檢事,&nbsp;檢査",""
"1515","줍다","to pick up, gather up","",""
"1516","운동복","sportswear","運動服",""
"1517","김","dried seaweed;<div>steam</div>",""," food "
"1518","통화하다","to talk over the telephone","通話",""
"1519","아래쪽","down, lower part","",""
"1520","손녀","granddaughter","孫女",""
"1521","썰다","to cut (up), chop, slice","",""
"1522","정답","correct answer","正答",""
"1523","아나운서","announcer, news anchor",""," eng "
"1524","주일","week;<div>Sunday, Lord's day</div>","週日,&nbsp;主日",""
"1525","기뻐하다","to be pleased, happy, glad","",""
"1526","회원","member, membership","會員",""
"1527","똑같이","equally, evenly","",""
"1528","당연하다","to be reasonable, natural","當然",""
"1529","김치찌개","kimchi stew",""," food "
"1530","정신","mind, spirit, soul","精神",""
"1531","매다","to tie, bind","",""
"1532","동전","(copper) coin","銅錢",""
"1533","속옷","underwear","",""
"1534","학생증","student ID","學生證",""
"1535","그만두다","to quit (work, school, etc.);<div>to give up (drinking etc.)</div>","",""
"1536","자기","self, oneself","自己",""
"1537","메일","mail",""," eng "
"1538","단순하다","to be simple","單純",""
"1539","장마","rainy season, rainy spell","",""
"1540","수학","mathematics;<div>study</div>","數學,&nbsp;修學",""
"1541","들르다","to stop by","",""
"1542","송편","half-moon-shaped rice cake","松-"," food "
"1543","짜증","irritation, annoyance","",""
"1544","초록색","green","草綠色"," color "
"1545","돌아가시다","to pass away, die (hon.)","",""
"1546","시대","period, era","時代",""
"1547","슬픔","sorrow, sadness","",""
"1548","거절하다","to refuse, decline, reject","拒絶",""
"1549","혀","tongue","",""
"1550","두통","headache","頭痛",""
"1551","얼다","to freeze, be frozen","",""
"1552","조건","condition, term","條件",""
"1553","새로","newly","",""
"1554","우표","stamp","郵票",""
"1555","누르다","to press down, push down, to suppress","",""
"1556","풍경","landscape, scenery","風景",""
"1557","터미널","terminal",""," eng "
"1558","도망가다","to run away, escape","逃亡",""
"1559","너희","you (plural)","",""
"1560","영화관","movie theater","映畫館",""
"1561","재채기하다","to sneeze","",""
"1562","경제","economy","經濟",""
"1563","갈비탕","beef rib soup",""," food "
"1564","영하","temperature below freezing","零下",""
"1565","감다","to wind, roll;<div>to wash;</div><div>to close one's eyes</div>","",""
"1566","만일","in case, by any chance, suppose","萬一",""
"1567","머리카락","hair","",""
"1568","변화하다","to change, alter","變化",""
"1569","버릇","habit;<div>manners</div>","",""
"1570","연말","end of the year","年末",""
"1571","밝히다","to brighten (up), lighten;<div>to clarify, disclose</div>","",""
"1572","점수","score, mark, grade","點數",""
"1573","스케이트","skates",""," eng "
"1574","서양","the West","西洋",""
"1575","뽑다","to pick, draw, pull out","",""
"1576","감","persimmon;<div>feeling</div>","減"," food "
"1577","코끼리","elephant","",""
"1578","결석하다","to be absent (from school)","缺席",""
"1579","꽃집","flower shop","",""
"1580","신랑","groom","新郞",""
"1581","팔리다","to be sold, be in demand","",""
"1582","환경","environment","環境",""
"1583","찬물","cold water","",""
"1584","일식","Japanese-style food;<br>solar eclipse","日食,&nbsp;日蝕",""
"1585","익숙해지다","to get used to","",""
"1586","전철","subway (train)","電鐵",""
"1587","이웃","neighbor","",""
"1588","출퇴근하다","to commute","出退勤",""
"1589","치킨","chicken",""," eng food "
"1590","연휴","long holiday, consecutive holidays","連休",""
"1591","줄다","to decrease, shrink, lose size","",""
"1592","국가","state, nation","國家",""
"1593","장난감","toy","",""
"1594","시어머니","mother-in-law (of a woman)","媤-",""
"1595","그만하다","to stop (doing something)","",""
"1596","연극","play, theatrical performance","演劇",""
"1597","모임","meeting, gathering","",""
"1598","가능하다","to be possible","可能",""
"1599","주머니","pocket, bag, pouch","",""
"1600","전화기","telephone (set)","電話機",""
"1601","화내다","to get angry, vent one's anger","",""
"1602","청년","young man, young people","靑年",""
"1603","손바닥","palm of the hand","",""
"1604","기본","basis, foundation, basics","基本",""
"1605","심다","to plant","",""
"1606","매달","every month","每-",""
"1607","콘서트","concert",""," eng "
"1608","고생하다","to suffer, have a hard time, have trouble","苦生",""
"1609","덜","less","",""
"1610","결국","after all, finally, in the end","結局",""
"1611","가리키다","to point to","",""
"1612","솔직히","honestly, frankly","率直",""
"1613","볶음밥","fried rice",""," food "
"1614","정치","politics","政治",""
"1615","따르다","to follow, go after;<div>to pour, fill</div>","",""
"1616","온도","temperature","溫度",""
"1617","햇빛","sunlight, sunshine","",""
"1618","한가하다","to be free, have leisure, have time to spare","閑暇",""
"1619","마당","yard, garden","",""
"1620","당신","you (specific usage)","當身",""
"1621","뜨다","to float;<div>to rise;</div><div>to open (eyes)</div>","",""
"1622","과학","science","科學",""
"1623","블라우스","blouse",""," eng "
"1624","무료","free of charge (more formal)","無料",""
"1625","튀기다","to fry;<div>to splash</div>","",""
"1626","항공","aviation, flight","航空",""
"1627","쇠고기","beef",""," food "
"1628","기대하다","to expect, look forward","期待",""
"1629","하늘색","sky blue",""," color "
"1630","기사","news article;<div>driver, chauffeur;</div><div>engineer</div>","記事,&nbsp;技士",""
"1631","모시다","to accompany, take;<div>to treat;</div><div>to serve (hon.)</div>","",""
"1632","한옥","Korean-style house","韓屋",""
"1633","겉","the outside, surface","",""
"1634","경우","case, circumstances, scenario","境遇",""
"1635","씹다","to chew","",""
"1636","양식","style, pattern;<br />Western-style food;<br />good sense;<br />culture, farming (of fish)","樣式,&nbsp;洋食,&nbsp;良識,&nbsp;養殖",""
"1637","축구공","soccer ball","",""
"1638","발견하다","to discover, find","發見",""
"1639","카레","curry",""," eng food "
"1640","인생","life (human)","人生",""
"1641","지루하다","to be boring","",""
"1642","체육관","gym","體育館",""
"1643","낚시","fishing","",""
"1644","원래","originally, by nature, always","元來·原來",""
"1645","메다","to carry on one's shoulder;<div>to choke (up)</div>","",""
"1646","중앙","center, middle","中央",""
"1647","나머지","the rest, the remainder","",""
"1648","확인하다","to confirm, verify, check","確認",""
"1649","서너","three or four","",""
"1650","교사","instructor, teacher","敎師",""
"1651","없어지다","<div>to lose, be lost;</div><div>to disappear</div>","",""
"1652","시설","establishment, facilities","施設",""
"1653","시간표","schedule, timetable","時間表",""
"1654","가늘다","to be thin, slender","",""
"1655","공사","construction","工事",""
"1656","다이어트","diet",""," eng "
"1657","연구","research","硏究",""
"1658","대단하다","to be great, tremendous;<div>to be wonderful</div>","",""
"1659","국적","nationality, citizenship","國籍",""
"1660","및","and, as well as","",""
"1661","배탈나다","to have a stomachache","-縫",""
"1662","칼국수","chopped noodles",""," food "
"1663","전통","tradition","傳統",""
"1664","그립다","to be missed, be beloved;<div>to miss, long for</div>","",""
"1665","중국집","Chinese restaurant","中國-",""
"1666","차이","difference","差異",""
"1667","섭섭하다","to be sorry, disappointed, regret",""," double "
"1668","한편","one side, one hand;<div>meanwhile</div>","-便",""
"1669","글씨","letter, character (handwritten)","",""
"1670","국민","people, citizen","國民",""
"1671","뛰어가다","to run, dash","",""
"1672","단점","weakness, flaw, shortcoming","短點",""
"1673","배드민턴","badminton",""," eng "
"1674","완벽하다","to be perfect, flawless","完璧",""
"1675","무척","very much","",""
"1676","진심으로","sincerely, from one's heart","眞心",""
"1677","귀찮다","to be troublesome, bothersome, annoying","",""
"1678","내과","internal medicine","內科",""
"1679","스키장","ski resort","ski場",""
"1680","미끄러지다","to slide, slip","",""
"1681","삼계탕","chicken soup with ginseng","蔘鷄湯"," food "
"1682","껌","chewing gum","",""
"1683","책임","responsibility;<div>blame</div>","責任",""
"1684","갚다","to pay back, repay","",""
"1685","금년","this year","今年",""
"1686","수저","spoon and chopsticks (traditional Korean utensils)","",""
"1687","통하다","to go through, flow;<div>to be circulated;</div><div>to be understood</div>","通",""
"1688","집안일","housework, housekeeping;<div>household affair</div>","",""
"1689","예습","preparation, rehearsal","豫習",""
"1690","일어서다","to stand up","",""
"1691","대전","Daejeon;<div>great war;</div><div>state ceremony</div>","大田,&nbsp;大戰,&nbsp;大典",""
"1692","운전사","driver, chauffeur","運轉士",""
"1693","밉다","to be hateful, dislikeable;<div>to be ugly</div>","",""
"1694","소년","young boy","少年",""
"1695","올림픽","Olympics",""," eng "
"1696","종일","all day long","終日",""
"1697","귀여워하다","to treat affectionately","",""
"1698","시절","years (college years etc.), period of life","時節",""
"1699","막걸리","raw rice wine",""," food "
"1700","심각하다","to be serious, grave, severe","深刻",""
"1701","되게","very, really, extremely","",""
"1702","과","department;<div>lesson, chapter</div>","科,&nbsp;課",""
"1703","미치다","to go mad, crazy;<div>to reach</div>","",""
"1704","공연","public performance","公演",""
"1705","여행사","travel agency","旅行社",""
"1706","접다","to fold","",""
"1707","순간","moment, instant","瞬間",""
"1708","하얀색","white",""," color "
"1709","피부","skin","皮膚",""
"1710","웃기다","to amuse, to be funny","",""
"1711","정보","information","情報",""
"1712","바이올린","violin",""," eng "
"1713","퇴원하다","to be discharged from the hospital","退院",""
"1714","언젠가","someday","",""
"1715","휴대전화","cell phone","携帶電話",""
"1716","물다","to bite;<div>to pay (for)</div>","",""
"1717","절대로","never;<div>absolutely, completely</div>","絶對",""
"1718","표현","expression (verbal, grammatical etc.)","表現",""
"1719","잡히다","to be caught, be grabbed","",""
"1720","억","hundred million","億",""
"1721","참외","oriental melon",""," food "
"1722","굉장히","very, extremely, very much","宏壯",""
"1723","게으르다","to be idle, lazy","",""
"1724","매력","charm, attractiveness","魅力",""
"1725","아래층","downstairs","",""
"1726","다행이다","to be lucky, fortunate","多幸",""
"1727","손목","wrist","",""
"1728","화분","flower pot","花盆",""
"1729","떨다","to tremble, shake, vibrate","",""
"1730","무궁화","Rose of Sharon","無窮花",""
"1731","대중","the (general) public","大衆",""
"1732","따라가다","to follow, go after, tag along","",""
"1733","기술","skill, technique;<div>description</div>","技術,&nbsp;記述",""
"1734","치즈","cheese",""," eng food "
"1735","주제","subject, theme, topic","主題",""
"1736","커지다","to grow big, expand;<div>to become serious</div>","",""
"1737","세배","New Year's bow","歲拜",""
"1738","맞은편","opposite side","-便",""
"1739","저금하다","to save money, make a deposit","貯金",""
"1740","설마","impossibly, can't be true","",""
"1741","성인","adult, grown-up","成人",""
"1742","시다","to be sour","",""
"1743","회","time, round (count.);<div>lime;</div><div>raw fish</div>","回,&nbsp;灰,&nbsp;膾",""
"1744","안방","master bedroom","-房",""
"1745","받아들이다","to accept","",""
"1746","장점","advantage, strength, strong point","長點",""
"1747","안개","fog, mist","",""
"1748","공중전화","public phone","公衆電話",""
"1749","나서다","to leave, set out;<div>to come forward;<br /><div>to meddle</div></div>","",""
"1750","좌석","seat","座席",""
"1751","트럭","truck",""," eng "
"1752","집중하다","to concentrate","集中",""
"1753","떡국","rice-cake soup",""," food "
"1754","용돈","pocket money, allowance","用-",""
"1755","숨다","to hide, disappear","",""
"1756","초대장","(written) invitation","招待狀",""
"1757","손자","grandson","孫子",""
"1758","자연스럽다","to be natural","自然-",""
"1759","문장","sentence","文章",""
"1760","물음","question","",""
"1761","막","just, just now;<div>severely, carelessly;</div><div>curtain</div>","幕",""
"1762","깨지다","to be broken, get broken","",""
"1763","점원","salesperson","店員",""
"1764","큰일","serious matter","",""
"1765","상상하다","to imagine","想像",""
"1766","헬스클럽","health club, gym",""," eng "
"1767","지역","area, region","地域",""
"1768","닿다","to reach, touch","",""
"1769","예정","schedule","豫定",""
"1770","안내문","notice","案內文",""
"1771","알아듣다","to understand, catch, see","",""
"1772","영상","picture, image, video;<div>temperature above freezing</div>","映像,&nbsp;零上",""
"1773","튀김","fried food",""," food "
"1774","군대","army, troops","軍隊",""
"1775","이루다","to achieve, accomplish;<div>to make, form</div>","",""
"1776","당장","on the spot, immediately","當場",""
"1777","검정","black",""," color "
"1778","대하다","to face, confront;<div>to treat</div>","對",""
"1779","엉덩이","butt, buttocks","",""
"1780","편","side","便",""
"1781","인터뷰","interview",""," eng "
"1782","합격하다","to pass an exam","合格",""
"1783","당근","carrot",""," food "
"1784","불교","Buddhism","佛敎",""
"1785","끼다","to be caught (in), be involved;<div>to wear;</div><div>to cloud over, be foggy</div>","",""
"1786","최대","the largest, the biggest","最大",""
"1787","영수증","receipt","領收證",""
"1788","깜빡하다","to forget, slip one's mind","",""
"1789","사촌","cousin","四寸",""
"1790","가만히","still, motionlessly","",""
"1791","평생","lifetime, one's entire life","平生",""
"1792","꿈꾸다","to dream","",""
"1793","가정","home, family;<br>supposition, assumption","家庭,&nbsp;假定",""
"1794","눈앞","in front of one's eyes, just ahead","",""
"1795","포기하다","to give up","抛棄",""
"1796","짝","one of a set, partner","",""
"1797","욕심","greed","慾心",""
"1798","제대로","appropriately, properly","",""
"1799","위하다","to do for the sake of, on behalf of","爲",""
"1800","뉴욕","New York",""," eng "
"1801","번역","translation","飜譯",""
"1802","끌다","to pull, draw","",""
"1803","일식집","Japanese restaurant","日食-",""
"1804","안주","appetizers served with drinks","按酒"," food "
"1805","쌀쌀하다","to be chilly",""," double "
"1806","과장님","head of department, chief","課長-",""
"1807","더욱","increasingly, more and more","",""
"1808","일반","general, common","一般",""
"1809","내놓다","to put out, take out;<div>to show, present</div>","",""
"1810","택배","parcel delivery service","宅配",""
"1811","배꼽","navel","",""
"1812","외식하다","to dine out","外食",""
"1813","아무래도","anyway, by the look of (it);<div>by any means</div>","",""
"1814","작가","writer, author","作家",""
"1815","낳다","to give birth","",""
"1816","겁","fear, fright","怯",""
"1817","대표","representative","代表",""
"1818","살펴보다","to look around, watch for","",""
"1819","공간","space, room","空間",""
"1820","스타일","style",""," eng "
"1821","사자","lion","獅子",""
"1822","비키다","get out of the way, step aside","",""
"1823","잡채","noodles with sauteed vegetables","雜菜"," food "
"1824","벌레","bug, insect","",""
"1825","보호하다","to protect","保護",""
"1826","단추","button","",""
"1827","향기","scent, fragrance","香氣",""
"1828","잠들다","to fall asleep","",""
"1829","비용","expense, cost","費用",""
"1830","여행지","destination","旅行地",""
"1831","나타내다","to express;<div>to show, display</div>","",""
"1832","발전","development, growth","發展",""
"1833","딱","exactly, precisely","",""
"1834","재산","property, fortune, wealth","財産",""
"1835","살리다","to save one's life, spare;<div>to make good use</div>","",""
"1836","표정","facial expression","表情",""
"1837","그룹","group",""," eng "
"1838","독서하다","to read books","讀書",""
"1839","더위","the heat","",""
"1840","분식","flour-based food","粉食"," food "
"1841","희다","to be white, fair",""," color "
"1842","일상생활","everyday life","日常生活",""
"1843","사회","society, community","社會",""
"1844","미워하다","to hate, loathe","",""
"1845","분명히","clearly, definitely","分明",""
"1846","보기","example","",""
"1847","자료","materials, data","資料",""
"1848","빠지다","to fall into;<div>to fall out, come off</div>","",""
"1849","역할","role, part","役割",""
"1850","웬일","what matter, what cause","",""
"1851","관련하다","to be related to, connected with","關聯",""
"1852","이미지","image",""," eng "
"1853","소녀","young girl","少女",""
"1854","막다","to block, close","",""
"1855","전문","specialty","專門",""
"1856","매표소","ticket booth","賣票所",""
"1857","알려지다","to become known","",""
"1858","민족","people, ethnic group","民族",""
"1859","짓","act, behavior","",""
"1860","다행히","fortunately","多幸",""
"1861","쓰이다","to be used, serve as;<div>to be written</div>","",""
"1862","제품","product, manufactured goods","製品",""
"1863","국물","soup, broth",""," food "
"1864","확실하다","to be certain, be reliable","確實",""
"1865","여보","Honey, Dear","",""
"1866","감정","feeling, emotion;<div>grudge, animosity;</div><div>appraisal, valuation</div>","感情,&nbsp;憾情,&nbsp;鑑定",""
"1867","덮다","to cover, shut, close","",""
"1868","유리창","glass window","琉璃窓",""
"1869","회장","president, chairman;<div>hall, venue</div>","會長,&nbsp;會場",""
"1870","일으키다","to raise, set somebody upright","",""
"1871","절대","absolutely, definitely","絶對",""
"1872","골프","golf",""," eng "
"1873","개인","individual","個人",""
"1874","불리다","to be called, be invited;<div>to enrich oneself</div>","",""
"1875","전쟁","war","戰爭",""
"1876","버섯","mushroom",""," food "
"1877","해결하다","to solve a question, problem","解決",""
"1878","곰","bear","",""
"1879","불만","dissatisfaction,&nbsp;complaint","不滿",""
"1880","옮기다","to move, transfer","",""
"1881","실내","indoors","室內",""
"1882","항공권","airline ticket","航空券",""
"1883","사라지다","to disappear","",""
"1884","연기","acting, performance;<div>smoke</div>","演技, 煙氣",""
"1885","제발","please;<div>by all means</div>","",""
"1886","현대","the present age, modern times","現代",""
"1887","높이다","to raise, make higher","",""
"1888","실력","skill, ability","實力",""
"1889","아시아","Asia",""," eng "
"1890","구하다","to look for, seek;<div>to rescue, save</div>","求",""
"1891","나물","seasoned vegetables",""," food "
"1892","발표","announcement, presentation","發表",""
"1893","빵집","bakery","",""
"1894","환전하다","to exchange money","換錢",""
"1895","꽤","substantially, fairly","",""
"1896","세기","century","世紀",""
"1897","맡다","to take charge of, undertake;<div>to smell, sniff, scent</div>","",""
"1898","포도주","wine","葡萄酒",""
"1899","과제","task, assignment","課題",""
"1900","늘어나다","<div>to grow longer;</div><div>to increase</div>","",""
"1901","특징","distinguishing mark, characteristic","特徵",""
"1902","막내","youngest child (in a family)","",""
"1903","요새","these days, currently;<div>fortress</div>","要塞",""
"1904","놓치다","to miss, let slip, fail to catch","",""
"1905","이혼","divorce","離婚",""
"1906","모델","model",""," eng "
"1907","대신하다","to take the place of, act as a substitute","代身",""
"1908","그대","you (poet.)","",""
"1909","욕실","bathroom","浴室",""
"1910","집다","to pick up","",""
"1911","장학금","scholarship","奬學金",""
"1912","단체","organization, association, group of people","團體",""
"1913","가난하다","to be poor","",""
"1914","각종","every kind, various kinds","各種",""
"1915","데","spot, place","",""
"1916","회식","dining together (among colleagues)","會食",""
"1917","챙기다","to gather, pack, put things in order;<div>to take care of</div>","",""
"1918","과목","subject, course","科目",""
"1919","어쩌면","maybe","",""
"1920","참가하다","to participate, join","參加",""
"1921","발목","ankle","",""
"1922","조사","investigation, inquiry, survey;<div>postposition;</div><div>eulogy</div>","調査,&nbsp;助詞,&nbsp;弔辭·弔詞",""
"1923","낡다","to be old, worn","",""
"1924","전문가","expert, specialist","專門家",""
"1925","이하","below, less than","以下",""
"1926","따라오다","to follow, come with","",""
"1927","지구","Earth, globe;<div>district, zone</div>","地球",""
"1928","팬","fan (a person)",""," eng "
"1929","명령","order, command","命令",""
"1930","죽이다","to kill, murder;<div>to hold back, suppress</div>","",""
"1931","질서","order, system","秩序",""
"1932","아픔","pain, ache;<div>sorrow, grief</div>","",""
"1933","요구하다","to demand, ask, claim","要求",""
"1934","짬뽕","Chinese spicy noodle soup",""," food "
"1935","즉시","at once, immediately, without delay","卽時",""
"1936","밟다","to step on;<div>to trail after</div>","",""
"1937","노동자","worker, laborer","勞動者",""
"1938","하나씩","one by one","",""
"1939","식물","plant, vegetation","植物",""
"1940","꺼지다","to be extinguished, go out;<div>to get lost, disappear (col.)</div>","",""
"1941","자격","qualification","資格",""
"1942","대단히","very much, greatly, highly","",""
"1943","감동하다","to be moved, touched (emotionally)","感動",""
"1944","큰길","main road","",""
"1945","의견","opinion, view, idea","意見",""
"1946","더하다","to add (up), sum up;<div>to get worse, grow harder</div>","",""
"1947","반말","plain speech","半-",""
"1948","테이블","table",""," eng "
"1949","연애","dating;<div>love, romance</div>","戀愛",""
"1950","달라지다","to change, alter, vary","",""
"1951","계약","contract","契約",""
"1952","숨","breath, breathing","",""
"1953","속하다","to belong to","屬",""
"1954","저녁때","evening","",""
"1955","복도","hallway","複道",""
"1956","내밀다","to stick out, extend","",""
"1957","초보","first steps, the beginning","初步",""
"1958","고구마","sweet potato",""," food "
"1959","효과","effect, efficiency","效果",""
"1960","안타깝다","to be heart-breaking, frustrating, regrettable","",""
"1961","봉지","bag, sack","封紙",""
"1962","마찬가지","the same, identical, equal","",""
"1963","진행하다","to progress, proceed","進行",""
"1964","목도리","scarf","",""
"1965","신체","body","身體",""
"1966","한턱내다","to treat to a meal or a drink","",""
"1967","기준","standard, criteria","基準",""
"1968","쇼핑센터","shopping center",""," eng "
"1969","점차","gradually, little by little","漸次",""
"1970","붓다","to pour (into);<div>to become swollen</div>","",""
"1971","수입","income;<div>import</div>","收入,&nbsp;輸入",""
"1972","파","green onion",""," food "
