"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"320","つける","switch on","つける","Verb","電気[でんき]を<b>つけて</b>ください。","電気を<b>つけて</b>ください。","Please turn on the light."
"321","一杯","full","一杯[いっぱい]","Adverb","プールは 人[ひと]で<b> 一杯[いっぱい]</b>です。","プールは人で<b>一杯</b>です。","The pool is packed."
"322","飛ぶ","fly","飛[と]ぶ","Verb","鳥[とり]が<b> 飛[と]んでいます</b>。","鳥が<b>飛んでいます</b>。","A bird is flying."
"323","飛行機","airplane","飛行機[ひこうき]","Noun","息子[むすこ]は<b> 飛行機[ひこうき]</b>のおもちゃが 好[す]きです。","息子は<b>飛行機</b>のおもちゃが好きです。","My son likes toy airplanes."
"324","お願い","request, wish","お 願[ねが]い","Verbal Noun","<b>お 願[ねが]い</b>があります。","<b>お願い</b>があります。","I have a favor to ask."
"325","続く","continue, follow が","続[つづ]く","Verb","工事[こうじ]は 3月[さんがつ]まで<b> 続[つづ]きます</b>。","工事は3月まで<b>続きます</b>。","Construction will continue until March."
"326","日記","diary","日記[にっき]","Noun","私[わたし]は 毎日[まいにち]、<b> 日記[にっき]</b>を 付[つ]けています。","私は毎日、<b>日記</b>を付けています。","I keep a diary every day."
"327","首","neck","首[くび]","Noun","きりんの<b> 首[くび]</b>は 長[なが]い。","きりんの<b>首</b>は長い。","Giraffes' necks are long."
"328","頭","head","頭[あたま]","Noun","今朝[けさ]から<b> 頭[あたま]</b>が 痛[いた]い。","今朝から<b>頭</b>が痛い。","I've had a headache since this morning."
"329","顔","face","顔[かお]","Noun","彼[かれ]はタオルで<b> 顔[かお]</b>を 拭[ふ]きました。","彼はタオルで<b>顔</b>を拭きました。","He wiped his face with a towel."
"330","あれ","that over there","あれ","Noun","<b>あれ</b>は 何[なん]ですか。","<b>あれ</b>は何ですか。","What's that?"
"331","感じる","feel, sense","感[かん]じる","Verb","膝[ひざ]に 痛[いた]みを<b> 感[かん]じます</b>。","膝に痛みを<b>感じます</b>。","I feel a pain in my knee."
"332","探す","search for, look for","探[さが]す","Verb","彼[かれ]は 郵便局[ゆうびんきょく]を<b> 探[さが]していました</b>。","彼は郵便局を<b>探していました</b>。","He was looking for the post office."
"333","落ちる","fall, go down","落[お]ちる","Verb","猿[さる]も 木[き]から<b> 落[お]ちる</b>。","猿も木から<b>落ちる</b>。","Monkeys also fall from trees."
"334","お手洗い","bathroom (polite)","お 手洗[てあら]い","Noun","<b>お 手洗[てあら]い</b>はどこですか。","<b>お手洗い</b>はどこですか。","Where's the bathroom?"
"335","冷たい","cold (things, touch)","冷[つめ]たい","Adjective","<b> 冷[つめ]たい</b> 飲[の]み 物[もの]をください。","<b>冷たい</b>飲み物をください。","Please give me a cold drink."
"336","汚い","dirty","汚[きたな]い","Adjective","彼[かれ]の 部屋[へや]はとても<b> 汚[きたな]い</b>。","彼の部屋はとても<b>汚い</b>。","His room is very dirty."
"337","太い","thick, fat","太[ふと]い","Adjective","彼女[かのじょ]は 足[あし]が<b> 太[ふと]い</b>。","彼女は足が<b>太い</b>。","She has fat legs."
"338","曇る","become cloudy","曇[くも]る","Verb","明日[あす]は 昼頃[ひるごろ]から<b> 曇[くも]る</b>でしょう。","明日は昼頃から<b>曇る</b>でしょう。","It'll probably get cloudy around noon tomorrow."
"339","神","god, spirit","神[かみ]","Noun","彼[かれ]は<b> 神[かみ]</b>を 信[しん]じている。","彼は<b>神</b>を信じている。","He believes in God."
"340","まずい","bad-tasting, bad","まずい","Adjective","ここの 料理[りょうり]は<b>まずい</b>。","ここの料理は<b>まずい</b>。","The food here is bad."
"341","建てる","build, erect","建[た]てる","Verb","私[わたし]たちは 来年[らいねん]、 家[いえ]を<b> 建[た]てます</b>。","私たちは来年、家を<b>建てます</b>。","We're building a house next year."
"342","置く","put, leave","置[お]く","Verb","彼[かれ]はかばんをいすの 上[うえ]に<b> 置[お]きました</b>。","彼はかばんをいすの上に<b>置きました</b>。","He put the bag on the chair."
"343","辺","vicinity, part","辺[へん]","Noun","彼[かれ]はこの<b> 辺[へん]</b>に 住[す]んでいます。","彼はこの<b>辺</b>に住んでいます。","He lives around here."
"344","黄色い","yellow","黄色[きいろ]い","Adjective","彼女[かのじょ]に<b> 黄色[きいろ]い</b>バラを 買[か]いました。","彼女に<b>黄色い</b>バラを買いました。","I bought her a yellow rose."
"345","一緒に","together, at the same time","一緒[いっしょ]に","Adverb","<b> 一緒[いっしょ]に</b> 帰[かえ]りましょう。","<b>一緒に</b>帰りましょう。","Let's go home together."
"346","緑","green, foliage","緑[みどり]","Noun","この 町[まち]には<b> 緑[みどり]</b>がたくさんあります。","この町には<b>緑</b>がたくさんあります。","There's a lot of greenery in this town."
"347","易しい","easy, simple","易[やさ]しい","Adjective","この 問題[もんだい]はかなり<b> 易[やさ]しい</b>です。","この問題はかなり<b>易しい</b>です。","This problem is pretty easy."
"348","留学生","student studying abroad","留学生[りゅうがくせい]","Noun","彼[かれ]は<b> 留学生[りゅうがくせい]</b>です。","彼は<b>留学生</b>です。","He's a foreign student."
"349","戻る","return, turn back","戻[もど]る","Verb","今[いま]、 会社[かいしゃ]に<b> 戻[もど]ります</b>。","今、会社に<b>戻ります</b>。","I'm going back to the office now."
"350","そば","side, vicinity","そば","Noun","<b>そば</b>にいて 下[くだ]さい。","<b>そば</b>にいて下さい。","Stay with me."
"351","起きる","get up, get out of bed","起[お]きる","Verb","私[わたし]は 毎朝6時[まいあさ ろくじ]に<b> 起[お]きます</b>。","私は毎朝6時に<b>起きます</b>。","I get up at six o'clock every morning."
"352","起こる","happen","起[お]こる","Verb","町[まち]で 大事件[だいじけん]が<b> 起[お]こりました</b>。","町で大事件が<b>起こりました</b>。","There was a major incident in town."
"353","起こす","wake up (someone)","起[お]こす","Verb","明日[あす]、 6時[ろくじ]に<b> 起[お]こして</b>ください。","明日、6時に<b>起こして</b>ください。","Please wake me up tomorrow at six o'clock."
"354","起きる","occur","起[お]きる","Verb","近所[きんじょ]で 盗難事件[とうなん じけん]が<b> 起[お]きました</b>。","近所で盗難事件が<b>起きました</b>。","Some burglaries occurred in the neighborhood."
"355","寝る","sleep, go to sleep","寝[ね]る","Verb","もう<b> 寝[ね]よう</b>。","もう<b>寝よう</b>。","Let's go to bed."
"356","細い","thin, slender, narrow","細[ほそ]い","Adjective","彼女[かのじょ]は 指[ゆび]が<b> 細[ほそ]い</b>ですね。","彼女は指が<b>細い</b>ですね。","Her fingers are thin."
"357","載せる","place, put on","載[の]せる","Verb","皿[さら]にケーキを<b> 載[の]せました</b>。","皿にケーキを<b>載せました</b>。","I put the cake on the plate."
"358","締める","tighten, fasten","締[し]める","Verb","彼[かれ]はシートベルトを<b> 締[し]めた</b>。","彼はシートベルトを<b>締めた</b>。","He fastened his seat belt."
"359","甘い","sweet","甘[あま]い","Adjective","このイチゴは<b> 甘[あま]い</b>。","このイチゴは<b>甘い</b>。","This strawberry is sweet."
"360","こっち","here","こっち","Pronoun","<b>こっち</b>に 来[き]て 下[くだ]さい。","<b>こっち</b>に来て下さい。","Please come here."
"361","辛い","spicy, salty","辛[から]い","Adjective","彼[かれ]は<b> 辛[から]い</b>ものが 好[す]きです。","彼は<b>辛い</b>ものが好きです。","He likes spicy food."
"362","優しい","gentle, kind","優[やさ]しい","Adjective","彼[かれ]はとても<b> 優[やさ]しい</b> 人[ひと]です。","彼はとても<b>優しい</b>人です。","He's a very kind person."
"363","夫","husband","夫[おっと]","Noun","私[わたし]の<b> 夫[おっと]</b>はサラリーマンです。","私の<b>夫</b>はサラリーマンです。","My husband is a company employee."
"364","妻","wife","妻[つま]","Noun","今日[きょう]は<b> 妻[つま]</b>の 誕生日[たんじょうび]だ。","今日は<b>妻</b>の誕生日だ。","It's my wife's birthday today."
"365","誰","who, whom","誰[だれ]","Noun","<b> 誰[だれ]</b>と 会[あ]ってみたいですか。","<b>誰</b>と会ってみたいですか。","Who would you like to meet one day?"
"366","愛する","love, care for","愛[あい]する","Verb","私[わたし]は 家族[かぞく]を<b> 愛[あい]しています</b>。","私は家族を<b>愛しています</b>。","I love my family."
"367","笑う","laugh, smile","笑[わら]う","Verb","赤[あか]ん 坊[ぼう]が<b> 笑[わら]っています</b>。","赤ん坊が<b>笑っています</b>。","The baby is laughing."
"368","酸っぱい","sour","酸[す]っぱい","Adjective","このぶどうは<b> 酸[す]っぱい</b>です。","このぶどうは<b>酸っぱい</b>です。","These grapes are sour."
"369","言葉","word, language","言葉[ことば]","Noun","この<b> 言葉[ことば]</b>の 意味[いみ]が 分[わ]かりません。","この<b>言葉</b>の意味が分かりません。","I don't understand the meaning of this word."
"370","よう","way, like, kind [the state of something]","よう","Noun","彼女[かのじょ]は 眠[ねむ]い<b>よう</b>です。","彼女は眠い<b>よう</b>です。","It looks like she's sleepy."
"371","呼ぶ","call, name","呼[よ]ぶ","Verb","ウェイターを<b> 呼[よ]びましょう</b>。","ウェイターを<b>呼びましょう</b>。","Let's call the waiter."
"372","胸","chest","胸[むね]","Noun","<b> 胸[むね]</b>に 少[すこ]し 痛[いた]みがあります。","<b>胸</b>に少し痛みがあります。","I have a slight pain in my chest."
"373","腰","hip, lower back","腰[こし]","Noun","昨日[きのう]から<b> 腰[こし]</b>が 痛[いた]い。","昨日から<b>腰</b>が痛い。","I've had a pain in my lower back since yesterday."
"374","背","height, stature","背[せ]","Noun","彼女[かのじょ]は<b> 背[せ]</b>が 高[たか]い。","彼女は<b>背</b>が高い。","She's tall."
"375","片仮名","katakana","片仮名[かたかな]","Noun","お 名前[なまえ]を<b> 片仮名[かたかな]</b>で 書[か]いてください。","お名前を<b>片仮名</b>で書いてください。","Please write your name in katakana."
"376","平仮名","hiragana","平仮名[ひらがな]","Noun","私[わたし]は<b> 平仮名[ひらがな]</b>を 全部読[ぜんぶ よ]めます。","私は<b>平仮名</b>を全部読めます。","I can read all the hiragana."
"377","悲しい","sad","悲[かな]しい","Adjective","その 映画[えいが]はとても<b> 悲[かな]しかった</b>。","その映画はとても<b>悲しかった</b>。","That movie was very sad."
"378","美しい","beautiful","美[うつく]しい","Adjective","この 絵[え]は<b> 美[うつく]しい</b>です。","この絵は<b>美しい</b>です。","This picture is beautiful."
"379","授業","class, lesson","授業[じゅぎょう]","Verbal Noun","今日[きょう]は 日本語[にほんご]の<b> 授業[じゅぎょう]</b>があります。","今日は日本語の<b>授業</b>があります。","There's going to be a Japanese class today."
"380","あそこ","over there","あそこ","Pronoun","<b>あそこ</b>にバス 停[てい]があります。","<b>あそこ</b>にバス停があります。","There's a bus stop over there."
"381","手伝う","help, assist","手伝[てつだ]う","Verb","私[わたし]が<b> 手伝[てつだ]いましょう</b>。","私が<b>手伝いましょう</b>。","Can I help you?"
"382","狭い","narrow, restricted","狭[せま]い","Adjective","私[わたし]の 部屋[へや]は<b> 狭[せま]い</b>です。","私の部屋は<b>狭い</b>です。","My room is small."
"383","触る","touch, feel","触[さわ]る","Verb","絵[え]に<b> 触[さわ]らないで</b>ください。","絵に<b>触らないで</b>ください。","Please don't touch the painting."
"384","嫌い","dislike","嫌[きら]い","Adjective","私[わたし]はタバコが<b> 嫌[きら]い</b>です。","私はタバコが<b>嫌い</b>です。","I hate cigarettes."
"385","浴びる","take a shower","浴[あ]びる","Verb","私[わたし]は 朝[あさ]、シャワーを<b> 浴[あ]びます</b>。","私は朝、シャワーを<b>浴びます</b>。","I take a shower in the morning."
"386","渇く","become thirsty","渇[かわ]く","Verb","のどが<b> 渇[かわ]きました</b>。","のどが<b>渇きました</b>。","I'm thirsty."
"387","髪の毛","hair","髪[かみ]の 毛[け]","Noun","<b> 髪[かみ]の 毛[け]</b>が 伸[の]びたね。","<b>髪の毛</b>が伸びたね。","Your hair's longer, isn't it?"
"388","肩","shoulder","肩[かた]","Noun","<b> 肩[かた]</b>が 凝[こ]りました。","<b>肩</b>が凝りました。","My shoulders are stiff."
"389","鼻","nose","鼻[はな]","Noun","<b> 鼻[はな]</b>がかゆいです。","<b>鼻</b>がかゆいです。","My nose itches."
"390","おいしい","tasty","おいしい","Adjective","このケーキは<b>おいしい</b>ね。","このケーキは<b>おいしい</b>ね。","This cake is yummy."
"391","腕","arm","腕[うで]","Noun","彼[かれ]の<b> 腕[うで]</b>は 太[ふと]い。","彼の<b>腕</b>は太い。","He has big arms."
"392","掛ける","hang, put on","掛[か]ける","Verb","夫[おっと]の 服[ふく]をハンガーに<b> 掛[か]けた</b>。","夫の服をハンガーに<b>掛けた</b>。","I put my husband's clothes on a hanger."
"393","僕","I (young male)","僕[ぼく]","Noun","<b> 僕[ぼく]</b>は 学生[がくせい]です。","<b>僕</b>は学生です。","I'm a student."
"394","だめ","no good","だめ","Adjectival Noun","彼[かれ]は<b>だめ</b>な 男[おとこ]だ。","彼は<b>だめ</b>な男だ。","He's a loser."
"395","大丈夫","alright, okay","大丈夫[だいじょうぶ]","Adjectival Noun","<b> 大丈夫[だいじょうぶ]</b>ですか。","<b>大丈夫</b>ですか。","Are you okay?"
"396","風邪","cold (illness)","風邪[かぜ]","Noun","私[わたし]は<b> 風邪[かぜ]</b>を 引[ひ]きました。","私は<b>風邪</b>を引きました。","I caught a cold."
"397","きれい","pretty","きれい","Adjectival Noun","彼女[かのじょ]はとても<b>きれい</b>だ。","彼女はとても<b>きれい</b>だ。","She's very beautiful."
"398","嬉しい","happy, glad","嬉[うれ]しい","Adjective","彼[かれ]に 会[あ]えて<b> 嬉[うれ]しかった</b>。","彼に会えて<b>嬉しかった</b>。","I was glad to meet him."
"399","なる (生る)","produce fruit, grow (on a tree)","なる","Verb","柿[かき]の 木[き]に 実[み]がたくさん<b>なっています</b>。","柿の木に実がたくさん<b>なっています</b>。","A lot of fruit is ripening on the persimmon tree."
"400","ため","sake, purpose","ため","Noun","これは 医者[いしゃ]の<b>ため</b>のサイトです。","これは医者の<b>ため</b>のサイトです。","This is a site for doctors."
"401","より","more, further","より","Adverb","これから、<b>より</b> 一層努力[いっそう どりょく]します。","これから、<b>より</b>一層努力します。","I'll work that much harder from now."
"402","七","seven","七[しち]","Noun","そのグループのメンバーは 全部[ぜんぶ]で<b> 七[しち]</b> 人[にん]だ。","そのグループのメンバーは全部で<b>七</b>人だ。","There are seven members of the group in all."
"403","九","nine","九[く]","Noun","私[わたし]は<b> 九[く]</b> 月[がつ]に 行[い]く 予定[よてい]です。","私は<b>九</b>月に行く予定です。","I plan to go in September."
"404","億","hundred million","億[おく]","Noun","世界人口[せかい じんこう]は 65[ろくじゅうご]<b> 億[おく]</b> 人[にん]だ。","世界人口は65<b>億</b>人だ。","The world's population is 6.5 billion people."
"405","寺","buddhist temple","寺[てら]","Noun","あそこに 古[ふる]いお<b> 寺[てら]</b>があります。","あそこに古いお<b>寺</b>があります。","There's an old temple there."
"406","ドル","dollar","ドル","Noun","この 服[ふく]は 300[さんびゃく]<b>ドル</b>しました。","この服は300<b>ドル</b>しました。","These clothes cost 300 dollars."
"407","日","sun, sunlight, day","日[ひ]","Noun","夏[なつ]は<b> 日[ひ]</b>が 長[なが]い。","夏は<b>日</b>が長い。","The days are long in summer."
"408","火","fire","火[ひ]","Noun","<b> 火[ひ]</b>を 消[け]して。","<b>火</b>を消して。","Put the fire out."
"409","木","tree, wood","木[き]","Noun","台風[たいふう]で<b> 木[き]</b>が 倒[たお]れた。","台風で<b>木</b>が倒れた。","The tree fell because of the typhoon."
"410","金","gold, sum of money, Friday","金[きん]","Noun","彼女[かのじょ]は<b> 金[きん]</b>のネックレスをしています。","彼女は<b>金</b>のネックレスをしています。","She's wearing a gold necklace."
"411","システム","system","システム","Noun","全[すべ]ての<b>システム</b>が 停止[ていし]した。","全ての<b>システム</b>が停止した。","All systems have stopped."
"412","十分","enough, plenty","十分[じゅうぶん]","Adjectival Noun","お 金[かね]はまだ<b> 十分[じゅうぶん]</b>あります。","お金はまだ<b>十分</b>あります。","We still have plenty of money."
"413","分","amount, part, share","分[ぶん]","Noun","このケーキはあなたの<b> 分[ぶん]</b>です。","このケーキはあなたの<b>分</b>です。","This is your share of the cake."
"414","分ける","divide into parts, sort, share","分[わ]ける","Verb","お 菓子[かし]をみんなで<b> 分[わ]けました</b>。","お菓子をみんなで<b>分けました</b>。","We shared the sweets with everyone."
"415","分かれる","be divided, disperse, branch off","分[わ]かれる","Verb","グループの 中[なか]で 意見[いけん]が<b> 分[わ]かれました</b>。","グループの中で意見が<b>分かれました</b>。","Opinion was divided within the group."
"416","コンピュータ","computer","コンピュータ","Noun","新[あたら]しい<b>コンピュータ</b>を 買[か]った。","新しい<b>コンピュータ</b>を買った。","I bought a new computer."
"417","何か","something, some","何[なに]か","Noun","道[みち]に<b> 何[なに]か</b> 落[お]ちています。","道に<b>何か</b>落ちています。","Something has fallen on the road."
"418","何","what, which","何[なん]","Noun","質問[しつもん]は<b> 何[なん]</b>ですか。","質問は<b>何</b>ですか。","What's the question?"
"419","まず","first (of all)","まず","Adverb","帰[かえ]ったら<b>まず</b> 手[て]を 洗[あら]いましょう。","帰ったら<b>まず</b>手を洗いましょう。","When you get home, wash your hands first."
"420","先月","last month","先月[せんげつ]","Noun","<b> 先月[せんげつ]</b>、 友達[ともだち]の 結婚式[けっこんしき]があった。","<b>先月</b>、友達の結婚式があった。","My friend's wedding was held last month."
"421","やる","give (to animals, plants, etc.)","やる","Verb","犬[いぬ]にえさを<b>やった</b>。","犬にえさを<b>やった</b>。","I fed the dog."
"422","先週","last week","先週[せんしゅう]","Noun","<b> 先週[せんしゅう]</b>は 海[うみ]に 行[い]った。","<b>先週</b>は海に行った。","I went to the beach last week."
"423","今まで","until now, so far","今[いま]まで","Adverb","<b> 今[いま]まで</b>どこにいたのですか。","<b>今まで</b>どこにいたのですか。","Where were you until now?"
"424","来月","next month","来月[らいげつ]","Noun","<b> 来月[らいげつ]</b>から 大学生[だいがくせい]になります。","<b>来月</b>から大学生になります。","I'll be a college student beginning next month."
"425","来週","next week","来週[らいしゅう]","Noun","続[つづ]きは<b> 来週[らいしゅう]</b>やりましょう。","続きは<b>来週</b>やりましょう。","Let's continue next week."
"426","ロボット","robot","ロボット","Noun","彼[かれ]は<b>ロボット</b>の 研究[けんきゅう]をしています。","彼は<b>ロボット</b>の研究をしています。","He is doing research on robots."
"427","行う","do, carry out","行[おこな]う","Verb","その 会社[かいしゃ]は 来月[らいげつ]、キャンペーンを<b> 行[おこな]う</b>。","その会社は来月、キャンペーンを<b>行う</b>。","That company is going to run a campaign next month."
"428","行き","going","行[い]き","Noun","<b> 行[い]き</b>は 新幹線[しんかんせん]で 行[い]った。","<b>行き</b>は新幹線で行った。","I went by bullet train on the way over."
"429","行き","going","行[ゆ]き","Noun","東京[とうきょう]<b> 行[ゆ]き</b>の 列車[れっしゃ]に 乗[の]った。","東京<b>行き</b>の列車に乗った。","I got on the Tokyo-bound train."
"430","帰り","return trip, going home","帰[かえ]り","Noun","仕事[しごと]の<b> 帰[かえ]り</b>にビールを 飲[の]んだ。","仕事の<b>帰り</b>にビールを飲んだ。","I had a beer on the way home from work."
"431","ほとんど","almost, hardly","ほとんど","Adverb","お 金[かね]が<b>ほとんど</b>ありません。","お金が<b>ほとんど</b>ありません。","There's hardly any money."
"432","大きさ","size, dimensions","大[おお]きさ","Noun","この<b> 大[おお]きさ</b>の 封筒[ふうとう]が 欲[ほ]しいのですが。","この<b>大きさ</b>の封筒が欲しいのですが。","I'd like an envelope of this size."
"433","大分","very, greatly","大分[だいぶ]","Adverb","<b> 大分[だいぶ]</b>ピアノが 上手[うま]くなりました。","<b>大分</b>ピアノが上手くなりました。","You've gotten pretty good at the piano."
"434","中","in, inside, middle","中[なか]","Noun","財布[さいふ]は 引[ひ]き 出[だ]しの<b> 中[なか]</b>にあります。","財布は引き出しの<b>中</b>にあります。","My purse is in the drawer."
"435","少年","boy","少年[しょうねん]","Noun","<b> 少年[しょうねん]</b>たちがサッカーをしている。","<b>少年</b>たちがサッカーをしている。","The boys are playing soccer."
"436","パソコン","personal computer","パソコン","Noun","彼[かれ]は<b>パソコン</b>を 2台持[にだい も]っています。","彼は<b>パソコン</b>を2台持っています。","He has two personal computers."
"437","少しも","(not) one bit","少[すこ]しも","Adverb","あなたは<b> 少[すこ]しも</b> 悪[わる]くない。","あなたは<b>少しも</b>悪くない。","It's not your fault at all."
"438","少々","a little, a few (formal)","少々[しょうしょう]","Adverb","塩[しお]を<b> 少々[しょうしょう]</b> 入[い]れてください。","塩を<b>少々</b>入れてください。","Please put in a little salt."
"439","多く","many, much","多[おお]く","Noun","毎年[まいとし]<b> 多[おお]く</b>の 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。","毎年<b>多く</b>の人が海外へ旅行する。","A lot of people travel abroad every year."
"440","上がる","go up, rise","上[あ]がる","Verb","私[わたし]たちは ２階[にかい]に<b> 上[あ]がった</b>。","私たちは２階に<b>上がった</b>。","We went up to the second floor."
"441","もう","another, again","もう","Adverb","コーヒーを<b>もう</b> 一杯[いっぱい]ください。","コーヒーを<b>もう</b>一杯ください。","Please give me another cup of coffee."
"442","上がる","get nervous, get stage fright","上[あ]がる","Verb","彼[かれ]は 人前[ひとまえ]だと<b> 上[あ]がってしまう</b>。","彼は人前だと<b>上がってしまう</b>。","He gets nervous in front of other people."
"443","年上","older, senior","年上[としうえ]","Noun","彼[かれ]は 私[わたし]より<b> 年上[としうえ]</b>です。","彼は私より<b>年上</b>です。","He's older than me."
"444","上り","going up, ascent","上[のぼ]り","Noun","これは<b> 上[のぼ]り</b> 電車[でんしゃ]です。","これは<b>上り</b>電車です。","This is the train going downtown."
"445","下げる","lower, turn down","下[さ]げる","Verb","少[すこ]し 音量[おんりょう]を<b> 下[さ]げて</b>ください。","少し音量を<b>下げて</b>ください。","Please turn the volume down a little."
"446","プログラム","program","プログラム","Noun","受付[うけつけ]で<b>プログラム</b>を 受[う]け 取[と]った。","受付で<b>プログラム</b>を受け取った。","I got my program at the reception."
"447","下がる","come down, hang (down), fall","下[さ]がる","Verb","やっと 熱[ねつ]が<b> 下[さ]がった</b>。","やっと熱が<b>下がった</b>。","His fever finally went down."
"448","下りる","go down, climb down","下[お]りる","Verb","そこの 階段[かいだん]を<b> 下[お]りて</b>ください。","そこの階段を<b>下りて</b>ください。","Please go down those stairs."
"449","下ろす","bring down, take down, withdraw (money)","下[お]ろす","Verb","棚[たな]からその 箱[はこ]を<b> 下[お]ろして</b>ください。","棚からその箱を<b>下ろして</b>ください。","Please take the box down from the shelf."
"450","下り","downhill, going down","下[くだ]り","Noun","もうすぐ<b> 下[くだ]り</b>の 電車[でんしゃ]が 発車[はっしゃ]します。","もうすぐ<b>下り</b>の電車が発車します。","The train out of the city leaves soon."
"451","よく","well","よく","Adverb","<b>よく</b> 答[こた]えが 分[わ]かりましたね。","<b>よく</b>答えが分かりましたね。","You did well in coming up with the answer."
"452","年下","junior, younger person","年下[としした]","Noun","彼[かれ]は 奥[おく]さんより<b> 年下[としした]</b>です。","彼は奥さんより<b>年下</b>です。","He's younger than his wife."
"453","下る","go down, go downward","下[くだ]る","Verb","小[ちい]さな 船[ふね]が 川[かわ]を<b> 下[くだ]っています</b>。","小さな船が川を<b>下っています</b>。","A small ship is going down the river."
"454","一方","one way","一方[いっぽう]","Noun","ここは<b> 一方[いっぽう]</b> 通行[つうこう]です。","ここは<b>一方</b>通行です。","This is a one-way street."
"455","方","person (polite)","方[かた]","Noun","次[つぎ]の<b> 方[かた]</b>、どうぞ。","次の<b>方</b>、どうぞ。","Next please."
"456","まま","as is, still (in the current state)","まま","Noun","電気[でんき]がついた<b>まま</b>ですよ。","電気がついた<b>まま</b>ですよ。","The light is still on."
"457","二人","two persons","二人[ふたり]","Noun","今日[きょう]は 妻[つま]と<b> 二人[ふたり]</b>で 食事[しょくじ]をします。","今日は妻と<b>二人</b>で食事をします。","Today I'm having dinner with my wife, just the two of us."
"458","大人しい","gentle, quiet, subdued","大人[おとな]しい","Adjective","私[わたし]の 彼女[かのじょ]はとても<b> 大人[おとな]しい</b>です。","私の彼女はとても<b>大人しい</b>です。","My girlfriend's very quiet."
"459","人々","people (polite)","人々[ひとびと]","Noun","あの 村[むら]の<b> 人々[ひとびと]</b>はとても 親切[しんせつ]です。","あの村の<b>人々</b>はとても親切です。","People in that village are very kind."
"460","一人で","by oneself","一人[ひとり]で","Adverb","今日[きょう]は<b> 一人[ひとり]で</b> 映画[えいが]を 見[み]ます。","今日は<b>一人で</b>映画を見ます。","I will see a movie by myself today."
"461","テレビ","television","テレビ","Noun","私[わたし]は<b>テレビ</b>をあまり 見[み]ません。","私は<b>テレビ</b>をあまり見ません。","I don't watch much TV."
"462","外人","foreigner, alien (less polite)","外人[がいじん]","Noun","この 町[まち]には<b> 外人[がいじん]</b>が 少[すく]ない。","この町には<b>外人</b>が少ない。","There are few foreigners in this town."
"463","外","outside, open air","外[そと]","Noun","<b> 外[そと]</b>は 暑[あつ]いよ。","<b>外</b>は暑いよ。","It's hot outside."
"464","休日","holiday, day off","休日[きゅうじつ]","Noun","<b> 休日[きゅうじつ]</b>は 家[いえ]でよくテレビを 見[み]ます。","<b>休日</b>は家でよくテレビを見ます。","I often watch television at home on my days off."
"465","休み","rest, holiday, absence","休[やす]み","Noun","木曜日[もくようび]は 仕事[しごと]が<b> 休[やす]み</b>です。","木曜日は仕事が<b>休み</b>です。","Thursday is my day off work."
"466","ソフト","software, programme","ソフト","Noun","この<b>ソフト</b>で 日本語[にほんご]を 勉強[べんきょう]することができます。","この<b>ソフト</b>で日本語を勉強することができます。","You can study Japanese with this software."
"467","力","strength, power","力[ちから]","Noun","お 相撲[すもう]さんは、みんな<b> 力[ちから]</b> 持[も]ちだ。","お相撲さんは、みんな<b>力</b>持ちだ。","All sumo wrestlers are strong."
"468","協力","cooperation, collaboration","協力[きょうりょく]","Verbal Noun","このプロジェクトにはみんなの<b> 協力[きょうりょく]</b>が 必要[ひつよう]です。","このプロジェクトにはみんなの<b>協力</b>が必要です。","This project requires everyone's cooperation."
"469","人口","population","人口[じんこう]","Noun","その 国[くに]の<b> 人口[じんこう]</b>はどのくらいですか。","その国の<b>人口</b>はどのくらいですか。","What's the population of that country?"
"470","出口","exit, exit ramp","出口[でぐち]","Noun","<b> 出口[でぐち]</b>はあそこです。","<b>出口</b>はあそこです。","The exit's over there."
"471","ただ","free","ただ","Noun","この 温泉[おんせん]は<b>ただ</b>です。","この温泉は<b>ただ</b>です。","This hot spring is free."
"472","入り口","entrance","入[い]り 口[ぐち]","Noun","<b> 入[い]り 口[ぐち]</b>は 向[む]こうです。","<b>入り口</b>は向こうです。","The entrance is over there."
"473","右手","right hand","右手[みぎて]","Noun","私[わたし]は<b> 右手[みぎて]</b>で 字[じ]を 書[か]きます。","私は<b>右手</b>で字を書きます。","I write right-handed."
"474","左手","left hand","左手[ひだりて]","Noun","彼女[かのじょ]は<b> 左手[ひだりて]</b>で 字[じ]を 書[か]く。","彼女は<b>左手</b>で字を書く。","She writes left-handed."
"475","下手","not good at","下手[へた]","Adjectival Noun","私[わたし]は 歌[うた]が<b> 下手[へた]</b>だ。","私は歌が<b>下手</b>だ。","I'm a terrible singer."
"476","これら","these","これら","Noun","今日[きょう]は<b>これら</b>の 問題[もんだい]について 話[はな]し 合[あ]います。","今日は<b>これら</b>の問題について話し合います。","We will discuss these issues today."
"477","足りる","be enough, be sufficient","足[た]りる","Verb","お 金[かね]が<b> 足[た]りなくて</b> 買[か]えなかった。","お金が<b>足りなくて</b>買えなかった。","I couldn't buy it because I didn't have enough money."
"478","足す","add, supplement<div>(the same kind of thing)</div>","足[た]す","Verb","母[はは]は 味噌汁[みそしる]に 水[みず]を<b> 足[た]した</b>。","母は味噌汁に水を<b>足した</b>。","My mother added water to the miso soup."
