"index","word","meaning"
"784","En la oscuridad tropecé con una piedra.","In the dark I stumbled on a rock."
"785","Él ha tropezado con varios obstáculos en su corta vida.","He has run into several difficulties in his short life."
"786","Me tropecé con Cody en el supermercado.","I ran into Cody at the grocery store."
"787","Si te hubieses tropezado con ella habrías visto lo bonita que está.","If you had run into her you would have seen how pretty she is."
"788","guiar","to guide, to lead"
"789","El faro guió al barco al puerto anoche.","The lighthouse guided the ship to the port last night."
"790","El perro guiaba al ciego al cruzar la calle.","The dog was guiding the blind man across the street."
"791","Ella se estaba guiando por el mapa.","She was guiding herself with the map."
"792","preguntar","to ask, to question"
"793","Pregúntele a su compañero.","Ask your classmate."
"794","El abogado me preguntó qué pasó el 24 de julio.","The lawyer asked me what happened on July 24th."
"795","Le hubieses preguntado a tu mamá si podías ir.","You should have asked your mother if you could go."
"796","Me pregunté si había dado la respuesta correcta.","I asked myself if I had given the right answer."
"797","Nos hemos preguntado lo mismo mil veces.","We have asked ourselves the same question a thousand times."
"798","abrazar","to embrace, to hug, to clamp"
"799","La abrazaré cuando la vea.","I will give her a hug when I see her."
"800","El actor estaba abrazando a la bella actriz.","The actor was embracing the pretty actress."
"801","¡No lo abraces!","Don't hug him!"
"802","La pareja se abrazó.","The couple embraced each other."
"803","guardar","to keep, to guard, to put away"
"804","Él había guardado su mejor vino para una ocasión especial.","He had kept his best wine for a special occasion."
"805","Donde guardaba Gary las fotos?","Where did Gary keep the pictures?"
"806","María estaba guardando sus joyas cuando vio el brazalete.","Maria was putting away her jewels when she saw the bracelet."
"807","Guarda sólo lo necesario.","Keep only what is needed."
"808","encontrar","to find"
"809","Encontrarás un futuro mejor en esa ciudad.","You will find a better future in that city."
"810","Aunque te encuentres sólo habrá más oportunidades.","Though you will be alone there will be more opportunities."
"811","Hemos encontrado buenos amigos en este pueblo.","We have found good friends in this town."
"812","Nos encontramos con José en el cine.","We met Jose at the movie theater."
"813","La fortuna de un loco es encontrarse con otro.","The luck of the foolish is to meet another fool."
"814","vivir","to live"
"815","Viví en Nueva York dos años.","I lived in New York for two years."
"816","Hemos vivido muchos años en esta ciudad.","We have lived many years in this city."
"817","Me gusta que vivas cerca de nosotros.","I am glad that you are living close to us."
"818","Viviríamos en Japón si pudiéramos.","We would live in Japan if we could."
"819","Estábamos viviendo en Puerto Rico cuando lanzaron el cohete a la luna.","We were living in Puerto Rico when they launched the rocket to the moon."
"820","acostarse","to go to bed, to lie down"
"821","Nos acostaremos temprano para salir temprano.","We will go to bed early so we can leave early."
"822","¡Mi papá quiere que me acueste a las diez!","My father wants me to go to bed at ten o'clock!"
"823","Si no te acuestas ya no jugaremos juegos de video mañana.","If you don't go to bed now we won't play video games tomorrow."
"824","La mamá acostó a su niña en la cuna.","The mother put her little girl in the crib."
"825","pescar","to fish, to catch"
"826","Pesqué en el lago ayer.","I fished on the lake yesterday."
"827","Es preciso que pesque un pez grande para ganar el torneo.","It is necessary that I catch a big fish so I can win the tournament."
"828","Me alegro de que él haya pescado un pez grande.","I am happy that he has caught a big fish."
"829","Estábamos pescando cuando empezó a llover.","We were fishing when it started to rain."
"830","Mariana ha pescado un resfriado fuerte.","Mariana has caught a very bad cold."
"831","cenar","to eat dinner"
"832","Los Ortega siempre cenan temprano.","The Ortegas always eat dinner early."
"833","Los invitados ya habían cenado cuando empezó el baile.","The guests had already had dinner when the dance started."
"834","Después que hayas cenado limpia los platos.","After you have dinner you can wash the dishes."
"835","¡Cenad con vuestros amigos!","Have dinner with your friends!"
"836","cerrar","to close, to shut, to heal"
"837","Cerrarán el teatro durante el invierno.","They will close the theater during the winter."
"838","Hubieran cerrado temprano pero tenían muchos clientes.","They would have closed early but they had many customers."
"839","Cierren la puerta cuando salgan.","Close the door when you leave."
"840","La herida se cerró muy bien.","The wound healed very well."
"841","¡No te cierres a las posibilidades de ese trabajo!","Don't close yourself to the possibility of that job!"
"842","descomponer","to disarrange, to break up, to decompose"
"843","No descompongas la sala por favor.","Don't disarrange the living room please."
"844","Las frutas se descomponen rápido.","Fruits decompose rapidly."
"845","El auto se había descompuesto anteriormente.","The car had broken down before."
"846","Todo estaba descompuesto en la hacienda.","Everything was broken at the ranch."
"847","Nada servía.","Nothing worked."
"848","transmitir","to transmit, to broadcast"
"849","El canal educativo transmite buenos programas.","The educational channel transmits good programs."
"850","Algunas enfermedades se transmiten por el aire.","Some diseases are transmitted by air."
"851","¿Transmitirá la radio ese programa?","Will the radio station transmit that program?"
"852","Le he transmitido tu mensaje al general.","I have transmitted your message to the general."
"853","promover","to promote, to further, to advance"
"854","La promovieron a supervisora de planta.","She was promoted to plant supervisor."
"855","Ojalá la promuevan a gerente pronto.","I hope she is promoted to manager soon."
"856","La doctura Pirela promueve las artes donando su dinero.","Dr Pirela furthers the arts by donating money."
"857","Han promovido la nueva película en todo el país.","They have promoted the new movie nationally."
"858","regar","to water, to irrigate, to scatter, to sprinkle"
"859","Roy riega el césped por favor.","Roy water the lawn please."
"860","Deja que los niños rieguen las flores.","Allow the children to water the flowers."
"861","Susana regó las semillas en el jardín.","Susan scattered the seeds in the garden."
"862","No riegues tu ropa por donde quiera.","Don't scatter your clothes everywhere."
"863","Ella ha regado la noticia del divorcio de Pamela por todo el pueblo.","She has spread the news about Pamela's divorce all around the town."
"864","regresar","to return, to give back, to go back"
"865","Regresaremos a eso de las seis.","We will return around six o'clock."
"866","Regresen los libros a la biblioteca.","Return the books to the library."
"867","Mi mamá me dijo que no regresara tarde.","My mom told me not to come back late."
"868","Ella se hubiese regresado a su ciudad pero no tenía dinero.","She would have gone back but she didn't have any money."
"869","elegir","to elect, to choose"
"870","El gobernador fue elegido por la gran mayoría.","The governor was elected by the majority of the people."
"871","Aunque haya elegido la fotografía submarina puedo estudiar la fotografía aérea también.","Even though I have chosen underwater photography I can study aerial photography too."
"872","Elegimos ir a Costa Rica este año.","We chose to go to Costa Rica this year."
"873","desprender","to release, to let loose, to give away"
"874","Las fábricas desprenden gases nocivos a la atmósfera.","The factories release harmful gases to the atmosphere."
"875","Las rosas estaban desprendiendo un aroma divino.","The roses were giving off a divine aroma."
"876","Las hojas se desprenden de los árboles en el otoño.","The leaves fall from the trees in the fall season."
"877","interesarse","to be interested in, to be concerned"
"878","Él se interesa mucho en sus estudios.","He is very interested in his studies."
"879","Carlita ¿desde cuándo te interesas por la música clásica?","Carlita since when are you interested in classical music?"
"880","¿Les interesarían estos discos compactos a Ustedes?","Would you all be interested in these compact disks?"
"881","No, no nos interesan gracias.","No thank you, they don't interest us."
"882","excusar","to excuse, to excuse from, to apologize"
"883","El estudiante se fue sin excusarse.","The student left without excusing himself."
"884","Aunque se excusara profusamente no lo iban a perdonar.","Even if he excused himself profusely they were not going to forgive him."
"885","El director estaba excusándose por su retraso.","The director was apologizing for being late."
"886","ahorrar","to save (money time), to spare"
"887","Hemos estado ahorrando desde que nos casamos.","We have been saving since we got married."
"888","Estamos ahorrando para ir a Australia.","We are saving so we can go to Australia."
"889","Nos ahorramos muchos dolores de cabeza tomando el tren.","We spare lots of headaches by riding the train."
"890","Me ahorré tiempo viajando por avión.","I saved time by traveling by plane."
"891","festejar","to feast, to celebrate"
"892","Siempre festejamos la Navidad en familia.","We always celebrate Christmas with the family."
"893","Festejaríamos nuestro aniversario pero tenemos que trabajar.","We would celebrate our anniversary but we have to work."
"894","Te aconsejo que festejen el aniversario el sábado.","I recommend that you celebrate the anniversary on Saturday."
"895","ofrecer","to offer"
"896","Los supermercados están ofreciendo productos mejicanos ahora.","The grocery stores are offering Mexican products now."
"897","Angélica ofreció traer la torta.","Angelica offered to bring the cake."
"898","El vendedor me había ofrecido un vehículo de lujo a bajo precio.","The salesman had offered me a luxury vehicle at a low price."
"899","Nos ofrecimos para ayudar en la iglesia.","We volunteered to help at the church."
"900","Me hubiese ofrecido a cantar pero no tenía tiempo para practicar.","I would have offered to sing but I didn't have time to practice."
"901","resumir","to sum up, to summarize"
"902","¿Puedes resumirme el libro que acabas de leer?","Can you summarize the book you just read?"
"903","La maestra resumió lo estudiado hasta hoy.","The teacher summarized all we have studied up today."
"904","Es necesario que ellos resuman los temas a discutir en la reunión.","It is necessary that they summarize all the subjects to be discussed in the meeting."
"905","¡La exposición se resumió a unos poquitos cuadros!","The exhibition was reduced to a few paintings!"
"906","entrevistar","to interview"
"907","El gerente me entrevistó y me dio el trabajo.","The manager interviewed me and gave me the job."
"908","La periodista ha entrevistado a personas muy famosas.","The journalist has interviewed very famous people."
"909","Ella habría entrevistado al actor pero él llegó tarde.","She would have interviewed the actor but he got there late."
"910","desahogarse","to confide in, to comfort, to console"
"911","Los jóvenes se desahogan en sus amigos.","The young people confide in their friends."
"912","Me desahogaba escribiendo mis pensamientos.","I used to console myself by writing my thoughts."
"913","¡Desahógate!","Speak your mind!"
"914","No guardes resentimientos en tu corazón.","Don't keep resentments growing in your heart."
"915","No se desahogue en desconocidos.","Don't confide in strangers."
"916","observar","to observe, to notice, to watch attentively"
"917","La guía observó que faltaba una persona en el grupo.","The guide observed that there was a person missing from the group."
"918","Los científicos han observado las manchas solares por muchos años.","The scientists have observed the sunspots for many years."
"919","No puedo opinar hasta que haya observado el evento.","I cannot give my opinion until I have seen the event."
"920","Observen la conducta de los animales cuidadosamente.","Attentively watch the behavior of the animals."
"921","hacer","to do, to make"
"922","¡Haz la tarea!","Do the homework!"
"923","Haría la cena pero no tengo tiempo.","I would make dinner but I do not have time."
"924","El niño no le hizo caso a su mamá.","The boy did not obey his mother."
"925","Si hubieses hecho los deberes habrías ido a la fiesta.","If you had done your chores you would have gone to the party."
"926","El bien que se hace hoy constituye la felicidad de mañana.","Today's good deeds are tomorrow's happiness."
"927","Dicho y hecho.","No sooner said than done."
"928","jubilar","to retire, to be pentioned"
"929","Esta compañía jubila a los empleados a los sesenta y cinco años de edad.","This company retires the employees at the age of sixty five."
"930","Ellos han estado jubilados desde hace tres meses.","They have been retired for three months."
"931","Guillermo se jubiló a los setenta y cinco años.","Guillermo retired at age seventy five."
"932","Me hubiera jubilado en junio pero necesito ahorrar más dinero.","I would have retired in June but I need to save more money."
"933","bailar","to dance"
"934","La bailarina bailaba como un ángel.","The ballerina was dancing like an angel."
"935","Las danzas afrocubanas se bailan con mucha energía.","The Afro-Cuban dances are danced with a lot of energy."
"936","Daniela y Virginia han bailado flamenco por muchos años.","Daniela and Virginia have danced the Flamenco for many years."
"937","El bailar alegra los corazones.","Dancing makes your hearts happy."
"938","producir","to produce, to yield"
"939","Esos árboles produjeron frutas muy dulces este año.","Those trees produced very sweet fruits this year."
"940","Los inversionistas desean que sus inversiones produzcan altos dividendos.","The investors wish that their investments would produce high yields."
"941","Si el taller produjera más podríamos comprar las máquinas.","If the shop were to produce more we could buy the machinery."
"942","Se produjo un accidente en la avenida San Martín.","An accident has taken place on San Martin Avenue."
"943","compartir","to share, to divide"
"944","Era necesario que compartiera el helado con mis hermanos.","It was necessary that I share the ice cream with my brothers."
"945","Si compartimos más tendremos más.","If we share more we will have more."
"946","Ellos compartieron la herencia entre todos.","They divided the inheritance between themselves."
"947","Los trabajadores estaban compartiendo su dinero con los pobres.","The workers were sharing their money with the poor."
"948","sentir","to feel, to be sorry, to regret"
"949","Lo siento mucho pero el doctor no se encuentra.","I am sorry but the doctor is not here."
"950","Sentiría mucho que no asistieras a mi boda.","I would regret very much if you would not attend my wedding."
"951","Ellos sintieron el calor de la ciudad cuando llegaron al aeropuerto.","They felt the heat of the city when they arrived at the airport."
"952","El equipo sintió la cálida bienvenida de los espectadores.","The team felt the warm welcome of the fans."
"953","Siento en el alma lo que está pasándote.","I feel terribly sorry for what is happening to you."
"954","Aunque sientas lo que sientas no te des por vencido.","No matter how you feel don't give up."
"955","revolver","to stir, to revolve, to turn upside down"
"956","Revuelve la sopa por favor.","Stir the soup please."
"957","Ella ha revuelto la casa buscando las llaves.","She has turned the house upside down looking for the keys."
"958","Ya había revuelto los huevos cuando me dijeron que los querían enteros.","I had already scrambled the eggs when they told me they wanted them sunny-side up."
"959","El tiempo está revuelto.","The weather is stormy."
"960","El viento había revuelto todos los papeles.","The wind had mixed up all the papers."
"961","Ellos están todos revueltos.","They are all confused."
"962","firmar","to sign"
"963","¡No firmes el contrato sin antes leerlo!","Don't sign the contract until you read it!"
"964","Aunque hayas firmado la declaración todavía puedes agregarle algo.","Even though you have signed the statement, you can still add to it."
"965","Ella firmó y se olvidó del asunto.","She signed it and she forgot about it."
"966","contestar","to answer, to reply"
"967","La concursante contestó las cien preguntas correctamente.","The contestant answered the one hundred questions correctly."
"968","Ella habría contestado la carta pero se le perdió.","She would have answered the letter but she lost it."
"969","Es una lástima que no contestara esa carta.","It is a pity she didn't reply to that letter."
"970","desafiar","to challenge, to dare, to defy"
"971","La juventud siempre desafía la autoridad.","Youth always challenges authority."
"972","Manuel estaba desafiando al famoso boxeador en público.","Manuel was challenging the famous boxer in public."
"973","A través de los siglos el hombre ha desafiado la naturaleza.","Over the centuries man has challenged Mother Nature."
"974","Nunca desafíes a tus padres.","Never challenge your parents."
"975","adelantarse","to go ahead, to go forward"
"976","Estudiaré más fuerte para adelantarme en mis estudios.","I will study harder to get ahead in my career."
"977","Si trabajamos horas extras nos adelantaremos en el trabajo.","If we work extra hours we will be ahead in the work."
"978","Adelántate tú primero.","Go ahead first."
"979","En el otoño adelantan la hora.","In the fall season the time is moved forward one hour."
"980","Quisiera que adelantaras más en tus investigaciones.","I wish you would make more progress in your research."
"981","insistir","to insist, to emphasize"
"982","Insisto en que lleves las modelos a la fiesta.","I insist that you bring the models to the party."
"983","Aunque insistas por mil días, no las llevaré.","Even if you insisted for a thousand days I will not bring them."
"984","Irma ha insistido en ir sola al concierto.","Irma has insisted on going by herself to the concert."
"985","La profesora insistió en que estudiáramos estas páginas.","The teacher emphasized that we should study these pages."
"986","zurcir","to mend, to darn, to join, to make up lies"
"987","Beatriz zurció el pantalón de su esposo.","Beatriz mended her husband's pants."
"988","Las costureras han zurcido los uniformes rotos.","The tailors have mended the torn uniforms."
"989","Mamá no quiere que yo zurza el ruedo del vestido.","Mom doesn't want me to sew the hem of the dress."
"990","Mi vecina zurcía unas mentiras de telenovela.","My neighbor used to make up lies worthy of a soap opera."
"991","pisar","to step on, to tread on, to trample on"
"992","No pisen el césped.","Keep off the grass."
"993","Ella pisó el piso con los zapatos mojados.","She stepped on the floor with her wet shoes."
"994","Me habrían pisado si no me muevo rápido.","They would have stepped on me if I didn't move quickly."
"995","Pisa con cuidado.","Walk carefully."
"996","El piso está mojado.","The floor is wet."
"997","ruborizarse","to blush"
"998","Ella se ruborizaba por nada.","She used to blush for nothing."
"999","Las jovencitas se ruborizaron cuando vieron al joven actor.","The teenagers blushed when they saw the young actor."
"1000","Me ruborizó todo lo que me dijo.","All that he said made me blush."
"1001","Le diré que lo quiero aunque me ruborice.","I will tell him I love him even if I blush."
"1002","rechazar","to reject, to turn down, to repel, to refuse"
"1003","El gremio de obreros está rechazando la última propuesta.","The trade union is rejecting the last proposal."
"1004","¿Por qué rechazaste a Pedro?","Why did you reject Peter?"
"1005","Rechacé esa oferta porque no era muy buena.","I rejected that offer because it was not a good one."
"1006","Es importante que no rechaces el nuevo entrenamiento.","It is important that you don't refuse the new training."
"1007","recuperar","to recover, to recuperate, to regain"
"1008","Celeste recuperó su cartera.","Celeste recovered her purse."
"1009","Ojalá que recuperen todo lo que les robaron.","We hope they recover all that was stolen from them."
"1010","Ella se ha recuperado rápidamente del accidente.","She has recovered very quickly from her accident."
"1011","Nos recuperaremos económicamente tan pronto como las acciones suban de valor.","We will recover economically as soon as the stocks go up in value."
"1012","mirar","to look, to look at, to watch"
"1013","¡Mira antes de cruzar la calle!","Look before you cross the street!"
"1014","El escultor había mirado a la modelo con admiración.","The sculptor had looked at the model with admiration."
"1015","Los novios se miraban con mucho amor.","The bride and the groom were looking at each other with love."
"1016","La actriz se miraba en el espejo orgullosa de su figura.","The actress looked at herself in the mirror proud of her figure."
"1017","¡Antes que te cases mira lo que haces!","Look before you leap!"
"1018","ducharse","to take a shower"
"1019","Mindy siempre se ducha antes de acostarse.","Mindy always takes a shower before going to sleep."
"1020","El entrenador quería que los jugadores se ducharan después de las prácticas.","The coach wanted the players to take a shower after the training sessions."
"1021","El papá ha duchado a los niños con la manguera.","The father has sprayed the boys with the hose."
"1022","No duches al gato.","Don't spray the cat."
"1023","desaparecer","to disappear, to make disappear, to vanish"
"1024","Las pinturas de Velázquez han desaparecido del museo.","Velázquez's paintings have disappeared from the museum."
"1025","Aunque hayan desaparecido la policía las encontrará.","Even if they have disappeared the police will find them."
"1026","El mago desaparecía y aparecía en el escenario.","The magician was disappearing and reappearing on the stage."
"1027","Desaparecieron los exámenes de la oficina del director.","The tests have disappeared from the principal's office."
"1028","prepararse","to be prepared, to get ready"
"1029","¿Se prepararon Ustedes para el examen?","Did you prepare for the test?"
"1030","Los estudiantes están preparados para presentar los exámenes finales.","The students are ready to take final exams."
"1031","Hay que estar preparado para cualquier eventualidad.","One has to be prepared for any emergency."
"1032","Los hombres prepararán la cena hoy.","The men will prepare dinner today."
"1033","narrar","to narrate, to tell"
"1034","El locutor narra las noticias con gran detalle.","The anchorman narrates the news in great detail."
"1035","Están narrando la vida de Gandhi en la radio.","Gandhi's life is being narrated on the radio."
"1036","El autor narraba el drama con pasión.","The author was narrating the drama with passion."
"1037","Si él lo narrara con más pasión yo lloraría de tristeza.","If he narrated it with more passion I would cry from sadness."
"1038","abastecer","to supply, to replenish, to furnish with"
"1039","Hemos abastecido la tienda con todo tipo de víveres.","We have replenished the store with all types of provisions."
"1040","Abastecieron la escuela con nuevos libros.","They supplied the school with new books."
"1041","Los voluntarios están abasteciendo el asilo de huérfanos con camas.","The volunteers are furnishing the orphanage with beds."
"1042","Abastecí mi despensa con más alimentos.","I replenished the pantry with more food."
"1043","abstenerse","to abstain, to deprive oneself"
"1044","El senador se abstuvo de votar.","The Senator abstained himself from voting."
"1045","Yo me abstuve de votar en las elecciones pasadas.","I abstained myself from voting in the last elections."
"1046","Los vegetarianos se abstienen de comer carne.","Vegetarians abstain themselves from eating meat."
"1047","Nos hemos abstenido de comer helado porque estamos a dieta.","We have deprived ourselves of eating ice cream because we are on a diet."
"1048","admirar","to admire, to amaze, to be surprised or amazed"
"1049","Admiramos la Catedral de Burgos cuando fuimos a España.","We admired the Burgos' Cathedral when we went to Spain."
"1050","Siempre hemos admirado una persona sincera.","We have always admired a sincere person."
"1051","Los artistas siempre quieren que la gente los admire.","Artists always want people to admire them."
"1052","Hemos estado admirando las nuevas pinturas del museo.","We have been admiring the new paintings of the museum."
"1053","calmar","to calm, to soothe, to calm down"
"1054","Una taza de té verde nos calma después de un largo viaje.","A cup of green tea calms us after a long trip."
"1055","Calmemos a los niños para que se duerman.","Let's calm down the children so they go to sleep."
"1056","Calma a los padres por favor.","Calm down the parents please."
"1057","La multitud se habría calmado si el líder le hubiese hablado.","The crowd would have calmed down if the leader would have spoken to them."
"1058","Para calmarme tuve que respirar hondo tres veces.","To calm myself down I had to breathe deeply three times."
"1059","aprobar","to approve of, to ratify, to pass a test"
"1060","El nuevo Congreso ha aprobado las nuevas leyes.","The new Congress has approved the new laws."
"1061","Si aprobamos los exámenes iremos a Canaima.","If we pass the tests we will go to Canaima."
"1062","Hubiésemos aprobado el proyecto pero no teníamos dinero.","We would have approved the project but we did not have the money."
"1063","Aprobarían el préstamo si ganáramos más dinero.","They would approve the loan if we made more money."
"1064","almacenar","to store, to accumulate"
"1065","El almacenista almacenó muchas latas de sopa.","The warehouse owner stored lots of canned soup."
"1066","Las computadoras de hoy almacenan más información que antes.","Today's computers store more information than before."
"1067","Habríamos almacenado más agua pero no teníamos espacio.","We would have stored more water but we didn't have enough room."
"1068","Almacenaron toda la mercancía en el cuarto.","They stored all the merchandise in the room."
"1069","pedir","to ask for, to request, to order"
"1070","Ella pidió las vacaciones.","She requested her vacation time."
"1071","Los trabajadores están pidiendo mejores condiciones en el trabajo.","The workers are asking for better work conditions."
"1072","He pedido la nueva mercancía.","I have ordered the new merchandise."
"1073","Manuel pidió la mano de Lili.","Manuel asked Lilly to marry him."
"1074","Él pidió prestado mil euros para el viaje.","He borrowed a thousand euros for the trip."
"1075","abrir","to open"
"1076","El banco se abre a las nueve.","The bank opens at nine."
"1077","Los niños han abierto todos los regalos.","The children have opened all the gifts."
"1078","¡No lo abra!","Don't open it!"
"1079","La profesora dijo que abriéramos los libros.","The teacher said to open the books."
"1080","contar","to tell, to count"
"1081","El mesero siempre cuenta sus propinas.","The waiter always counts his money."
"1082","La abuelita les contaba relatos de su época.","The grandmother used to tell them stories of her time."
"1083","¡La azafata había contado los pasajeros tres veces!","The flight attendant had counted the passengers three times!"
"1084","¡Cuenten conmigo!","Count on me!"
"1085","Los ayudaré a mudarse.","I will help you move."
"1086","encender","to light, to turn on"
"1087","Nunca enciendas un cigarrillo.","Never light a cigarette."
"1088","Aunque encienda las luces ella siempre tiene miedo.","Even if I turn the lights on she is afraid."
"1089","Es posible que hayan encendido las luces del estadio.","It is probable that the stadium's lights are on."
"1090","masticar","to chew, to crunch, to masticate, to munch"
"1091","El dentista recomienda que mastiquemos los alimentos lentamente.","The dentist recommends chewing the food slowly."
"1092","¡No hables mientras mastiques!","Don't talk while chewing!"
"1093","Los jugadores de béisbol mastican chicles durante el partido.","The baseball players chew bubblegum during the games."
"1094","El perro masticaba su hueso con placer.","The dog was chewing his bone with pleasure."
"1095","hablar","to talk, to speak"
"1096","El comandante ha hablado por tres horas.","The commander has spoken for three hours."
"1097","Si él hubiese hablado solamente una hora habría dicho lo mismo.","If he had spoken just one hour he would have said the same thing."
"1098","¡Habla de lo que quieras!","Say anything you want!"
"1099","Hablar sin pensar es tirar sin apuntar.","Talking without thinking is like shooting without aiming."
"1100","despertarse","to awaken, to wake up oneself"
"1101","Me desperté muy tarde hoy.","I woke very late today."
"1102","¿A qué horas te habrías despertado hoy?","At what time would you have woken up today?"
"1103","Es preciso que nos despertemos temprano mañana.","It is imperative that we wake up early tomorrow."
"1104","El ruido de los aviones nos despertó.","The noise of the airplanes woke us up."
"1105","El perro ha despertado a los vecinos muchas veces.","The dog has awakened the neighbors many times."
"1106","vencer","to conquer, to overcome, to defeat, to expire"
"1107","Venzo mis temores con oraciones.","I overcome my fears with prayer."
"1108","La razón vence el pánico.","Reason overcomes panic."
"1109","Aunque hayas vencido a mis amigos no me vas a vencer a mí.","Even if you have defeated my friends, you will not defeat me."
"1110","Este boleto ya se ha vencido.","This ticket has already expired."
"1111","permitir","to permit, to allow, to grant"
"1112","No permitas que ellos fumen en la casa.","Don't allow them to smoke in the house."
"1113","Ojalá que le permitan ir con nosotras.","We hope she is allowed to go with us."
"1114","Dudé que le permitieran comprarse el auto.","I doubted that they would allow him to buy the car."
"1115","Ella no ha permitido que él salga solo.","She has not allowed him to go out by himself."
"1116","cancelar","to cancel, to annul, to pay off"
"1117","Juanes canceló el concierto del sábado.","Juanes canceled his Saturday's concert."
"1118","Ellos han cancelado todas las cuentas.","They have paid off all their bills."
"1119","Cancelaron el vuelo a Bogotá.","The flight to Bogota was canceled."
"1120","Mis hermanas me pidieron que no cancelara mi viaje.","My sisters asked me not to cancel my trip."
"1121","peinarse","to comb one's hair"
"1122","Raquel estaba peinándose en el balcón.","Rachel was combing her hair on the balcony."
"1123","Mi madrina me dijo que no me peinara con ese peine.","My godmother told me not to comb my hair with that comb."
"1124","Mizuki no quiso peinar a Hanna.","Mizuki refused to comb Hanna's hair."
"1125","Cuando peines a Miguelito ponle gomina.","When you comb Michael's hair put on some gel."
"1126","desechar","to reject, to get rid of, to throw off"
"1127","En la edad media desecharon las ideas de Copérnico.","In the Middle Ages Copernicus' ideas were rejected."
"1128","Desecha todas las dudas y sigue tus sueños.","Get rid of your doubts and follow your dreams."
"1129","Si hubiésemos desechado su ayuda no habríamos terminado el trabajo.","If we had rejected his help we would not have been able to finish."
"1130","No deseches un buen consejo.","Don't ignore good advice!"
"1131","burlarse","to ridicule, to make fun of, to evade"
"1132","El cómico se burló de los políticos.","The comedian made fun of the politician."
"1133","¡No te burles de tu hermana Daniel!","Don't make fun of your sister Daniel!"
"1134","Yo me burlo de mis propios errores.","I make fun of my own mistakes."
"1135","Ya se había burlado de la ley muchas veces.","He had already evaded the law many times."
"1136","hundir","to sink, to submerge, to overwhelm"
"1137","Los técnicos hundieron las columnas de cemento.","The technicians sank the concrete columns."
"1138","El submarino se hundió en dos minutos.","The submarine submerged in two minutes."
"1139","No te hundas en el lodo Ramón.","Don't sink in the mud Ramon."
"1140","Si te hundes en los libros sacarás mejores notas.","If you submerge yourself in the books you will get better grades."
"1141","dañar","to damage, to injure"
"1142","El perrito dañó el juguete.","The puppy damaged the toy."
"1143","Las aguas han dañado el puente.","The waters have damaged the bridge."
"1144","¡No dañes tu carro!","Don't damage your car!"
"1145","La leche se dañó.","The milk is spoiled."
"1146","valer","to value, to be worth"
"1147","¿Cuánto vale esta casa?","How much is this house worth?"
"1148","Valía cien mil dólares, pero ahora vale ciento cincuenta mil dólares.","It was worth one hundred thousand dollars but now it is worth one hundred and fifty thousand dollars."
"1149","Ese testimonio hubiera sido válido si hubiesen tenido las pruebas.","That confession would have been valid if they have had the proof."
"1150","Más vale que hagas la tarea ahora.","It is better that you do the homework now."
"1151","¿Valdrá la pena comprar esas acciones?","Would it be worth it to buy those stocks?"
"1152","Anna se vale pro sí misma.","Anna fends for herself."
"1153","sonreír","to smile"
"1154","Inés sonrió ante las ocurrencias de su hija.","Inez smiled when she heard her daughter's funny stories."
"1155","Adriana le había sonreído al joven.","Adriana had smiled to the young man."
"1156","Los niños sonreirían si vieran los regalos.","The children would smile if they were to see the gifts."
"1157","¡Sonrían la cámara está lista!","Smile the camera is ready!"
"1158","ocuparse","to occupy, to busy or employ oneself"
"1159","¡Ocúpate de tus asuntos y no de los míos!","Take care of your own business and not mine!"
"1160","Nos ocupamos de vender seguros en esta área.","We are in charge of selling insurance in this area."
"1161","La abogada estaba ocupándose de los negocios de ella.","The lawyer was taking care of her businesses."
"1162","¡Ocuparán a cien trabajadores para decorar el patio!","They will employ one hundred workers to decorate the patio!"
"1163","Los soldados ocuparon el país.","The soldiers took possession of the country."
"1164","irse","to go away, to depart, to leave"
"1165","Ya me voy.","I am leaving now."
"1166","Ellos se iban a las seis.","They were leaving at six o'clock."
"1167","Si te fueras mañana por la mañana tendrías tiempo para ir de compras.","If you were to leave tomorrow morning you would have time to go shopping."
"1168","Poco a poco se va lejos.","Little by little one travels far."
"1169","Me fue bien en el examen.","My test went well."
"1170","Se nos fue la onda.","Our minds went blank."
"1171","cobrar","to collect, to charge, to recuperate"
"1172","Los bancos cobran el interés acumulado al comienzo del mes.","The banks collect the accrued interest at the beginning of the month."
"1173","Los cobradores cobraron los recibos.","The bill collectors collected the bills."
"1174","La compañía de seguros siempre está cobrando primas altas.","The insurance company is always collecting high premiums."
"1175","Le hubiésemos cobrado por todos los servicios pero tienen muy poco dinero.","We would have charged for all the services but they did not have enough money."
"1176","invertir","to invest, to invert, to reverse"
"1177","Ellos han invertido mucho dinero en la bolsa.","They have invested lots of money in the stock market."
"1178","Ellos invirtieron sus ahorros y perdieron todo de un día para otro.","They invested their savings and lost everything overnight."
"1179","¡Has invertido los números de las cuentas!","You have reversed the accounts' numbers!"
"1180","Ellas estaban invirtiendo bastantes horas en ese proyecto.","They were investing lots of hours on that project."
"1181","memorizar","to memorize"
"1182","Es mejor que memoricéis el vocabulario para el jueves.","It is better that you memorize the vocabulary by Thursday."
"1183","Memorizaré el vocabulario de español para mañana.","I will memorize the Spanish vocabulary for tomorrow."
"1184","¡Ojalá hubiese memorizado todos estos verbos para el examen!","I wished I had memorized all these verbs for the test!"
